Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Not-active,Service,2040W-3PLY-2,20x40 3 Ply Poly Panel,M.L. Filters,20,40,,,8,f,14,
Active,Service,Sales Air Filtration Log/Sheet Book,credit,MISC,,,,,,s,16,
Not-active,Service,CI-M145P-12204-,12x20x4 MERV 15 Mini Pleat Plastic Frame,"Columbus Industries, Inc.",12,20,4,MERV 15,15,f,13,
Not-active,Service,F-CUBE-V2424-CV,Pre-filter Carbon cube for 24x24x12 V4-Bank Filters,AFC Manufacturing,24,24,12,,,f,4,
Active,Inventory Part,012-100093,"Down Stream Gasketing, Neoprene",Caldwell Gasket,,,,,,a,16,
Active,Inventory Part,012-100096,Upstream Gasketing,Caldwell Gasket,,,,,,a,16,
Active,Inventory Part,012-SCE-.25,"Sponge, SCE41, 0.25"" thick ...25"" x.492 x 22.625""L",Caldwell Gasket,0.25,0.492,22.625,,,a,16,
Not-active,Inventory Part,013-100093-N,"Filter Gasketing Neoprene 22 7/8"" x 1/4"" x 1/2"" Cut Strips","Wetzel Technologies Co., Ltd",22.875,0.25,0.5,,,a,16,
Active,Inventory Part,01ME01-30820106,HILCO OIL MIST ELIMINATOR..(HILCO DWG #3082-01-006-C),Hilliard Corporation,,,,,,a,16,
Active,Inventory Part,07-4000-18,"V-MOD, 18"" Single Lamp","UVDI UltraViolet Devices, Inc.",18,,,,,a,16,
Active,Inventory Part,07-4001-24,"V-MOD, 24"" Single Lamp","UVDI UltraViolet Devices, Inc.",24,,,,,a,16,
Active,Inventory Part,07-4002-36,"V-MOD, 36"" Single Lamp","UVDI UltraViolet Devices, Inc.",36,,,,,a,16,
Active,Inventory Part,07-4040-01-MT,"Lamp, 21"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",21,,,,,a,16,
Active,Inventory Part,07-4040-02-MT,"Lamp, 33"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",33,,,,,a,16,
Active,Inventory Part,10014-056,"HILCO REPAIR KIT - 2"" E STYLE VALVE",Hilliard Corporation,,,,,,a,16,
Active,Inventory Part,10014-062,"HILCO REPAIR KIT - 3"" E STYLE VALVE",Hilliard Corporation,,,,,,a,16,
Active,Inventory Part,10014-096,"Soft Goods Repair Kit..O-Rings, Pads, & Stem.. HILCO Transfer Valve Model F-20B-150P-001",Hilliard Corporation,,,,,,a,16,
Active,Inventory Part,10014-SER,"Soft Goods Repair Kit..O-Rings, Pads, Stem, Handle, Pin & Spring..HILCO Transfer Valve Model F-20B-150P-001..",Hilliard Corporation,,,,,,a,16,
Active,Inventory Part,1010-2ply,10x10 2-Ply Poly Panel,M.L. Filters,10,10,,,8,f,14,
Active,Inventory Part,1010-3ply,10x10 3-Ply Poly Panel,M.L. Filters,10,10,,,8,f,14,
Active,Inventory Part,1012-3ply,10x12 3-Ply Poly Panel,M.L. Filters,10,12,,,8,f,14,
Active,Inventory Part,1020-2ply,10x20 2-Ply Poly Panel,M.L. Filters,10,20,,,8,f,14,
Active,Inventory Part,1020-3ply,10x20 3-Ply Poly Panel,M.L. Filters,10,20,,,8,f,14,
Active,Inventory Part,1025-3ply,10x25 3-Ply Poly Panel,M.L. Filters,10,25,,,8,f,14,
Active,Inventory Part,1030-3ply,10x30 3-Ply Poly Panel,M.L. Filters,10,30,,,8,f,14,
Active,Inventory Part,1040-2ply,10x40 2-Ply Poly Panel,M.L. Filters,10,40,,,8,f,14,
Active,Inventory Part,1080-2ply,10x80 2-Ply Poly Panel,M.L. Filters,10,80,,,8,f,14,
Active,Inventory Part,1142-2ply,11x42 MZP 2-Ply Poly Panel,M.L. Filters,11,42,,,8,f,14,
Active,Inventory Part,12.24.2 Nova Pleat,12x24x2 NovaPleat No Wire,Commercial Filters Sales,12,24,2,,8,f,13,
Active,Inventory Part,1212-2Ply,12x12 2-Ply Panel,M.L. Filters,12,12,,,8,f,14,
Active,Inventory Part,1212-3Ply,12x12 3-Ply Panel,M.L. Filters,12,12,,,8,f,14,
Active,Inventory Part,12120-2ply,12x120 2-Ply Poly Panel,M.L. Filters,12,120,,,8,f,14,
Active,Inventory Part,12120-3ply,12x120 3-Ply Poly Panel,M.L. Filters,12,120,,,8,f,14,
Active,Inventory Part,1212W-2Ply-P,"12""  x 12""   2 Ply Panel Filter",M.L. Filters,12,12,,,8,f,14,
Active,Inventory Part,12144-2PLY-6L,12x144 2 Ply Poly Panel,M.L. Filters,12,144,,,8,f,14,
Active,Inventory Part,12144-3PLY-6L,12x144 3 Ply Poly Panel,M.L. Filters,12,144,,,8,f,14,
Active,Inventory Part,1218-2ply,12x18 2-Ply Poly Panel,M.L. Filters,12,18,,,8,f,14,
Active,Inventory Part,1218-3ply,12x18 3-Ply Poly Panel,M.L. Filters,12,18,,,8,f,14,
Active,Inventory Part,1218-5050WW-P,12x18 2-Ply Panel,M.L. Filters,12,18,,,8,f,14,
Active,Inventory Part,1220-2ply,12x20 2-Ply Poly Panel,M.L. Filters,12,20,,,8,f,14,
Active,Inventory Part,1220-3ply,12x20 3-Ply Poly Panel,M.L. Filters,12,20,,,8,f,14,
Active,Inventory Part,1224-2ply,12x24 2-Ply Poly Panel,M.L. Filters,12,24,,,8,f,14,
Active,Inventory Part,1224-3ply,12x24 3-Ply Poly Panel,M.L. Filters,12,24,,,8,f,14,
Active,Inventory Part,1224W-3PLY-P,12x24 3 Ply Poly Panel,M.L. Filters,12,24,,,8,f,14,
Active,Inventory Part,1238-2ply,12x38 2-Ply Poly Panel,M.L. Filters,12,38,,,8,f,14,
Active,Inventory Part,1243-2ply,12x43 2-Ply Poly Panel,M.L. Filters,12,43,,,8,f,14,
Active,Inventory Part,1243-3ply,12x43 3-Ply Poly Panel,M.L. Filters,12,43,,,8,f,14,
Active,Inventory Part,1248W-2PLY-P,12x48 2 Ply Poly Panel,M.L. Filters,12,48,,,8,f,14,
Active,Inventory Part,1248W-3PLY-P,12x48 3 Ply Poly Panel,M.L. Filters,12,48,,,8,f,14,
Active,Inventory Part,1272-2Ply,12x72 2-Ply Poly Panel,M.L. Filters,12,72,,,8,f,14,
Active,Inventory Part,1272-3Ply,12x72 3-Ply Poly Panel Special,M.L. Filters,12,72,,,8,f,14,
Active,Inventory Part,1296-2ply,12x96 2-Ply Poly Panel Special,M.L. Filters,12,96,,,8,f,14,
Active,Inventory Part,1296-3Ply,12x96 3-Ply Poly Panel Special,M.L. Filters,12,96,,,8,f,14,
Active,Inventory Part,1321-2ply,13x21 2-Ply Poly Panel,M.L. Filters,13,21,,,8,f,14,
Active,Inventory Part,1321-3ply,13x21 3-Ply Poly Panel,M.L. Filters,13,21,,,8,f,14,
Active,Inventory Part,1322-2ply,13x22 2-Ply Poly Panel,M.L. Filters,13,22,,,8,f,14,
Active,Inventory Part,1322-3ply,13x22 3-Ply Poly Panel,M.L. Filters,13,22,,,8,f,14,
Active,Inventory Part,1324-2ply,13x24-3/4 2-Ply Poly Panel,M.L. Filters,13,24.75,,,8,f,14,
Active,Inventory Part,14.20.2 Nova Pleat,14x20x2 NovaPleat No Wire,Commercial Filters Sales,14,20,2,,8,f,13,
Active,Inventory Part,14.25.1 Nova Pleat,14x25x1 NovaPleat No Wire,Commercial Filters Sales,14,25,1,,8,f,13,
Active,Inventory Part,1414-2ply,14x14 2-Ply Poly Panel,M.L. Filters,14,14,,,8,f,14,
Active,Inventory Part,1414-3ply,14x14 3-Ply Poly Panel,M.L. Filters,14,14,,,8,f,14,
Active,Inventory Part,1419-2ply,14x19 2-Ply Poly Panel,M.L. Filters,14,19,,,8,f,14,
Active,Inventory Part,1419-3ply,14x19 3-Ply Poly Panel,M.L. Filters,14,19,,,8,f,14,
Active,Inventory Part,1420-2ply,14x20 2-Ply Poly Panel,M.L. Filters,14,20,,,8,f,14,
Active,Inventory Part,1420-3ply,14x20 3-Ply Poly Panel,M.L. Filters,14,20,,,8,f,14,
Active,Inventory Part,1420-5050WW-P,14x20 Poly Panel 2 Ply,M.L. Filters,14,20,,,8,f,14,
Active,Inventory Part,1424-2ply,14x24 2-Ply Poly Panel,M.L. Filters,14,24,,,8,f,14,
Active,Inventory Part,1424-3ply,14x24 3-Ply Poly Panel,M.L. Filters,14,24,,,8,f,14,
Active,Inventory Part,1425-2ply,14x25 2-Ply Poly Panel,M.L. Filters,14,25,,,8,f,14,
Active,Inventory Part,1425-3ply,14x25 3-Ply Poly Panel,M.L. Filters,14,25,,,8,f,14,
Active,Inventory Part,1428-2ply,14x28 2-Ply Poly Panel,M.L. Filters,14,28,,,8,f,14,
Active,Inventory Part,1428-3ply,14x28 3-Ply Poly Panel,M.L. Filters,14,28,,,8,f,14,
Active,Inventory Part,1430-3Ply,14x30 3-Ply Poly Panel,M.L. Filters,14,30,,,8,f,14,
Active,Inventory Part,1438-2ply,14x38 2-Ply Poly Panel,M.L. Filters,14,38,,,8,f,14,
Active,Inventory Part,1438-3ply,14x38 3-Ply Poly Panel,M.L. Filters,14,38,,,8,f,14,
Active,Inventory Part,1444-2ply,14x44 2-Ply Poly Panel,M.L. Filters,14,44,,,8,f,14,
Active,Inventory Part,1444-3ply,14x44 3-Ply Poly Panel,M.L. Filters,14,44,,,8,f,14,
Active,Inventory Part,1520-2ply,15x20 2-Ply Poly Panel,M.L. Filters,15,20,,,8,f,14,
Active,Inventory Part,1520-3ply,15x20 3-Ply Poly Panel,M.L. Filters,15,20,,,8,f,14,
Active,Inventory Part,1520-5050WW-P,15x20 2-Ply Panel,M.L. Filters,15,20,,,8,f,14,
Active,Inventory Part,1525-3ply,15x25 3-Ply Poly Panel,M.L. Filters,15,25,,,8,f,14,
Active,Inventory Part,1530-2Ply,15x30 2-Ply Poly Panel,M.L. Filters,15,30,,,8,f,14,
Active,Inventory Part,1530-3Ply,15x30 3-Ply Poly Panel,M.L. Filters,15,30,,,8,f,14,
Not-active,Inventory Part,1530-5050WW-P,15x30 2-Ply Panel,M.L. Filters,15,30,,,8,f,14,
Active,Inventory Part,15305/8-2Ply,15x30 5/8 2-Ply Poly Panel,M.L. Filters,15,30.625,,,8,f,14,
Active,Inventory Part,15305/8-3Ply,15x30 -5/8 3-Ply Poly Panel,M.L. Filters,15,30,,,8,f,14,
Active,Inventory Part,1530W-2PLY P,"15""x30"" 2 PLY PANEL FILTER",M.L. Filters,15,30,,,8,f,14,
Active,Inventory Part,1531-3Ply,15x31 3-Ply Poly Panel,M.L. Filters,15,31,,,8,f,14,
Active,Inventory Part,1534-2ply,15x34 2-Ply Poly Panel,M.L. Filters,15,34,,,8,f,14,
Active,Inventory Part,16.20.1 Nova Pleat,16x20x1 NovaPleat No Wire,Commercial Filters Sales,16,20,1,,8,f,13,
Active,Inventory Part,16.20.2 Nova Pleat,16x20x2 NovaPleat No Wire,Commercial Filters Sales,16,20,2,,8,f,13,
Active,Inventory Part,16.25.1 Nova Pleat,16x25x1 NovaPleat No Wire,Commercial Filters Sales,16,25,1,,8,f,13,
Active,Inventory Part,16.25.2 Nova Pleat,16x25x2 NovaPleat No Wire,Commercial Filters Sales,16,25,2,,8,f,13,
Active,Inventory Part,16100-2Ply,16x100 2-Ply Poly Panel,M.L. Filters,16,100,,,8,f,14,
Active,Inventory Part,16120-2ply,"16"" X 120"" 2 PLY LINK FILTER",M.L. Filters,16,120,,,8,f,18,
Active,Inventory Part,16120W - 3PLY - 5L,"16"" X 120"" 3 PLY LINK FILTER",M.L. Filters,16,120,,,8,f,18,
Active,Inventory Part,1616-2Ply,16x16 2-Ply Poly Panel,M.L. Filters,16,16,,,8,f,14,
Active,Inventory Part,1616-3Ply,16x16 3-Ply Poly Panel,M.L. Filters,16,16,,,8,f,14,
Active,Inventory Part,1618-3Ply,16x18 3-Ply Poly Panel,M.L. Filters,16,18,,,8,f,14,
Active,Inventory Part,1618-5050WW-P,16x18 Poly Panels 2 ply,M.L. Filters,16,18,,,8,f,14,
Active,Inventory Part,1620-2Ply,16x20 2-Ply Poly Panels,M.L. Filters,16,20,,,8,f,14,
Active,Inventory Part,1620-2Ply FB Gold Panel,16x20 2-Ply Gold Panel,Fiber Bond Corporation,16,20,,,8,f,14,
Active,Inventory Part,1620-3Ply,16x20 3-Ply Poly Panel,M.L. Filters,16,20,,,8,f,14,
Not-active,Inventory Part,1620-5050WW-P,16x20 2-Ply Panel,M.L. Filters,16,20,,,8,f,14,
Active,Inventory Part,1622-2Ply,16x22 2-Ply Poly Panel,M.L. Filters,16,22,,,8,f,14,
Active,Inventory Part,1622-3Ply,16x22 3-Ply Poly Panel,M.L. Filters,16,22,,,8,f,14,
Active,Inventory Part,1622-5050WW-P,16x22 2-Ply Panel,M.L. Filters,16,22,,,8,f,14,
Active,Inventory Part,1624-2ply,16x24 2-Ply Poly Panel,M.L. Filters,16,24,,,8,f,14,
Active,Inventory Part,1624-3Ply,16x24 3-Ply Poly Panel,M.L. Filters,16,24,,,8,f,14,
Not-active,Inventory Part,1624-5050-G/W,16x24 Poly Panels 2 ply,M.L. Filters,16,24,,,8,f,14,
Active,Inventory Part,1625-2Ply,16x25 2-Ply Poly Panel,M.L. Filters,16,25,,,8,f,14,
Active,Inventory Part,1625-3Ply,16x25 3-Ply Poly Panel,M.L. Filters,16,25,,,8,f,14,
Not-active,Inventory Part,1625-5050WW-P,16x25 2-Ply Panel,M.L. Filters,16,25,,,8,f,14,
Active,Inventory Part,1628-2ply,16x28 2-Ply Poly Panel,M.L. Filters,16,28,,,8,f,14,
Active,Inventory Part,1630-2Ply,16x30 2-Ply Poly Panel,M.L. Filters,16,30,,,8,f,14,
Active,Inventory Part,1630-3Ply,16x30 3-Ply Poly Panel,M.L. Filters,16,30,,,8,f,14,
Active,Inventory Part,1631-3Ply,16x31 3-Ply Poly Panel,M.L. Filters,16,31,,,8,f,14,
Active,Inventory Part,1632-2ply,16x32 2-Ply Poly Panel,M.L. Filters,16,32,,,8,f,14,
Active,Inventory Part,1632-2PLY-2L,16x32 2 Ply Poly Panel,M.L. Filters,16,32,,,8,f,14,
Active,Inventory Part,1632-3ply,16x32 3 Ply Poly Panel,M.L. Filters,16,32,,,8,f,14,
Active,Inventory Part,1636-2ply,16x36 2-Ply Poly Panel,M.L. Filters,16,36,,,8,f,14,
Active,Inventory Part,1640-3ply,16x40 3-Ply Poly Panel,M.L. Filters,16,40,,,8,f,14,
Active,Inventory Part,1648-2Ply,"16x48 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,16,48,,MERV 9,9,f,18,
Active,Inventory Part,1650-2ply,16x50 2-Ply Poly Panel,M.L. Filters,16,50,,,8,f,14,
Active,Inventory Part,1650-3ply,16x50 3-Ply Poly Panel,M.L. Filters,16,50,,,8,f,14,
Active,Inventory Part,1651-2Ply,16.5x51.5 2-Ply Poly Panels,M.L. Filters,16.5,51.5,,,8,f,14,
Active,Inventory Part,1664-2PLY-3L,16x64 2-Ply Poly Link,M.L. Filters,16,64,,,8,f,18,
Active,Inventory Part,1672-2ply,16x72 2-Ply Poly Panel,M.L. Filters,16,72,,,8,f,14,
Active,Inventory Part,1672-3ply,16x72 3-Ply Poly Panel,M.L. Filters,16,72,,,8,f,14,
Active,Inventory Part,1675-2PLY-3L,16x75 MZP 2-Ply Poly Panel,M.L. Filters,16,75,,,8,f,14,
Active,Inventory Part,1680-2Ply,16x80 2-Ply Poly Panel,M.L. Filters,16,80,,,8,f,14,
Active,Inventory Part,1680-3Ply,16x80 3-Ply Poly Panel,M.L. Filters,16,80,,,8,f,14,
Active,Inventory Part,16x32 Poly Panel,16x32 Poly Panel,M.L. Filters,16,32,,,8,f,14,
Active,Inventory Part,1718-5050WW-P,17x18 Poly Panels 2 Ply,M.L. Filters,17,18,,,8,f,14,
Active,Inventory Part,18-6005-01,7.5 AMP Door Switch,"UVDI UltraViolet Devices, Inc.",,,,,,a,16,
Active,Inventory Part,18.24.2 Nova Pleat,18x24x2 NovaPleat No Wire,Commercial Filters Sales,18,24,2,,8,f,13,
Active,Inventory Part,1818-3ply,18x18 3-Ply Poly Panel,M.L. Filters,18,18,,,8,f,14,
Active,Inventory Part,1822-3Ply,18x22 3-Ply Poly Panel,M.L. Filters,18,22,,,8,f,14,
Active,Inventory Part,1822-5050WW-P,18x22 Poly Panel 2 Ply,M.L. Filters,18,22,,,8,f,14,
Active,Inventory Part,1824-3ply,18x24 3-Ply Poly Panel,M.L. Filters,18,24,,,8,f,14,
Active,Inventory Part,1825-3ply,18x25 3-Ply Poly Panel,M.L. Filters,18,25,,,8,f,14,
Active,Inventory Part,1828-5050-G/W,18x28 Poly Panels 2 Ply,M.L. Filters,18,28,,,8,f,14,
Active,Inventory Part,1830-2Ply,18x30 2-Ply Panel,M.L. Filters,18,30,,,8,f,14,
Active,Inventory Part,1830-5050WW-P,18x30 2-Ply Panel,M.L. Filters,18,30,,,8,f,14,
Active,Inventory Part,1837-2ply,18x37 2-Ply Poly Panel,M.L. Filters,18,37,,,8,f,14,
Active,Inventory Part,1921-5050WW-P,19x21 Poly Panels 2 ply,M.L. Filters,19,21,,,8,f,14,
Active,Inventory Part,20.20.2 Nova Pleat,20x20x2 NovaPleat No Wire,Commercial Filters Sales,20,20,2,,8,f,13,
Active,Inventory Part,20.24.2 Nova Pleat,20x24x2 NovaPleat No Wire,Commercial Filters Sales,20,24,2,,8,f,13,
Active,Inventory Part,20.25.1 Nova Pleat,20x25x1 NovaPleat No Wire,Commercial Filters Sales,20,25,1,,8,f,13,
Active,Inventory Part,20.25.2 Nova Pleat,20x25x2 NovaPleat No Wire,Commercial Filters Sales,20,25,2,,8,f,13,
Active,Inventory Part,20112-2Ply,"20x112 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20,112,,MERV 9,9,f,18,
Active,Inventory Part,20117-2ply,"20x117 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20,117,,MERV 9,9,f,18,
Active,Inventory Part,20120-2Ply,20x120 2-Ply Poly Link,M.L. Filters,20,120,,,8,f,18,
Active,Inventory Part,20120W - 3PLY - 5L,"20"" X 120"" 3 PLY LINK FILTER",M.L. Filters,20,120,,,8,f,18,
Active,Inventory Part,2020-2ply,20x20 2-Ply Poly Panel,M.L. Filters,20,20,,,8,f,14,
Active,Inventory Part,2020-3ply,20x20 3-Ply Poly Panel,M.L. Filters,20,20,,,8,f,14,
Not-active,Inventory Part,2020-5050WW-P,20x20 2-Ply Panel,M.L. Filters,20,20,,,8,f,14,
Active,Inventory Part,2022-2ply,20x22 2-Ply Poly Panel,M.L. Filters,20,22,,,8,f,14,
Active,Inventory Part,2022-3ply,20x22-3ply Poly Panel,M.L. Filters,20,22,,,8,f,14,
Active,Inventory Part,2022-5050WW-P,20x22 2-Ply Panel,M.L. Filters,20,22,,,8,f,14,
Active,Inventory Part,2024-2Ply,20x24 2-Ply Poly Panel,M.L. Filters,20,24,,,8,f,14,
Active,Inventory Part,2024-3ply,20x24 3-Ply Poly Panel,M.L. Filters,20,24,,,8,f,14,
Active,Inventory Part,2024-5050WW-P,20x24 Poly Panel 2 Ply,M.L. Filters,20,24,,,8,f,14,
Active,Inventory Part,2025-2ply,20x25 2-Ply Poly Panel,M.L. Filters,20,25,,,8,f,14,
Active,Inventory Part,2025-3ply,20x25 3-Ply Poly Panel,M.L. Filters,20,25,,,8,f,14,
Active,Inventory Part,2025-5050WW-P,20x25 Poly Panels 2 Ply,M.L. Filters,20,25,,,8,f,14,
Active,Inventory Part,2026-2ply,20x26 2-Ply Poly Panel,M.L. Filters,20,26,,,8,f,14,
Active,Inventory Part,2029-3ply,20.5x29.25 3-Ply Poly Panel,M.L. Filters,20.5,29.25,,,8,f,14,
Active,Inventory Part,2030-2Ply,20x30 2-Ply Poly Panel,M.L. Filters,20,30,,,8,f,14,
Active,Inventory Part,2030-2Ply FB Gold Panel,20x30 2-Ply Gold Panel,Fiber Bond Corporation,20,30,,,8,f,14,
Active,Inventory Part,2030-3Ply,20x30 - 3 Ply Poly Panel,M.L. Filters,20,30,,,8,f,14,
Active,Inventory Part,2030-5050WW-P,20x30 2-Ply Panel,M.L. Filters,20,30,,,8,f,14,
Active,Inventory Part,2032-2Ply,20x32 2Ply Poly Panel,M.L. Filters,20,32,,,8,f,14,
Active,Inventory Part,2032-3Ply,2032 - 3 Ply Poly Panel,M.L. Filters,20,32,,,8,f,14,
Active,Inventory Part,2036-2ply,20x36 2-Ply Poly Panel,M.L. Filters,20,36,,,8,f,14,
Active,Inventory Part,2036-3ply,20x36 3-Ply Poly Panel,M.L. Filters,20,36,,,8,f,14,
Active,Inventory Part,2040-2Ply,20x40 2-Ply Poly Panel,M.L. Filters,20,40,,,8,f,14,
Active,Inventory Part,2040-3Ply,20x40 3 Ply Poly Panel,M.L. Filters,20,40,,,8,f,14,
Active,Inventory Part,2040W-2PLY-2L,20x40 2 Ply Poly Panel,M.L. Filters,20,40,,,8,f,14,
Active,Inventory Part,2050-2Ply,20x50 2-Ply Poly Panel,M.L. Filters,20,50,,,8,f,14,
Active,Inventory Part,2050-3Ply,20x50 3-Ply Poly Panel,M.L. Filters,20,50,,,8,f,14,
Active,Inventory Part,2060-2Ply,20x60 2-Ply Poly Panel,M.L. Filters,20,60,,,8,f,14,
Active,Inventory Part,2060-3Ply,20x60 3-Ply Poly Panel,M.L. Filters,20,60,,,8,f,14,
Active,Inventory Part,2064-2PLY-3L,20x64 2-Ply Poly Link,M.L. Filters,20,64,,,8,f,18,
Active,Inventory Part,2072-2ply,20x72 2-Ply Poly Panel,M.L. Filters,20,72,,,8,f,14,
Active,Inventory Part,2072-3ply,20x72 3-Ply Poly Panel,M.L. Filters,20,72,,,8,f,14,
Active,Inventory Part,2075-2Ply,20x75 2-Ply Poly Panel,M.L. Filters,20,75,,,8,f,14,
Active,Inventory Part,2075W-2PLY-3L,20x75 2 Ply Poly Panel,M.L. Filters,20,75,,,8,f,14,
Active,Inventory Part,2075W-3PLY-3L,20x75 3 Ply Poly Panel,M.L. Filters,20,75,,,8,f,14,
Active,Inventory Part,2080-2ply,20x80 2-Ply Poly Panel,M.L. Filters,20,80,,,8,f,14,
Active,Inventory Part,2084-2PLY-4L,20x84 2-Ply Poly Link,M.L. Filters,20,84,,,8,f,18,
Active,Inventory Part,2094-2Ply,"20x94 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20,94,,MERV 9,9,f,18,
Active,Inventory Part,2098-2Ply,"20x98 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20,98,,MERV 9,9,f,18,
Active,Inventory Part,2121-2ply,21x21 2-Ply Poly Panel,M.L. Filters,21,21,,,8,f,14,
Active,Inventory Part,2121-3ply,21x21 3-Ply Poly Panel,M.L. Filters,21,21,,,8,f,14,
Active,Inventory Part,2123-2ply,21x23 1/2 2-Ply Poly Panel,M.L. Filters,21,23.5,,,8,f,14,
Active,Inventory Part,2123-3ply,21x23 1/2 3-Ply Poly Panel,M.L. Filters,21,23.5,,,8,f,14,
Active,Inventory Part,2224-2PLY,22x24 2-Ply Panel,M.L. Filters,22,24,,,8,f,14,
Active,Inventory Part,2226-2ply,22x26 2-Ply Poly Panel,M.L. Filters,22,26,,,8,f,14,
Not-active,Inventory Part,2236-5050WW-P,22x36 2-Ply Panel,M.L. Filters,22,36,,,8,f,14,
Active,Inventory Part,24.24.2 Nova Pleat,24x24x2 NovaPleat No Wire,Commercial Filters Sales,24,24,2,,8,f,13,
Active,Inventory Part,24105-2Ply,24x105 2-Ply Poly Panel,M.L. Filters,24,105,,,8,f,14,
Active,Inventory Part,24110-2ply,24x110 2Ply Poly Panel,M.L. Filters,24,110,,,8,f,14,
Active,Inventory Part,24110-3ply,24x110 3-Ply Poly Panel,M.L. Filters,24,110,,,8,f,14,
Active,Inventory Part,24114-2ply,24x114 2 Ply Poly Link,M.L. Filters,24,114,,,8,f,18,
Active,Inventory Part,24120-2Ply,120x24 2-Ply Poly Link,M.L. Filters,120,24,,,8,f,18,
Active,Inventory Part,24120-3ply,24x120 3-Ply Poly Panel,M.L. Filters,24,120,,,8,f,14,
Active,Inventory Part,24120W-3PLY-5L,24x120 3 Ply Poly Panel,M.L. Filters,24,120,,,8,f,14,
Active,Inventory Part,24140W-2PLY-7L,24x140 2 Ply Poly Panel,M.L. Filters,24,140,,,8,f,14,
Active,Inventory Part,24140W-3PLY-7L,24x140 3 Ply Poly Panel,M.L. Filters,24,140,,,8,f,14,
Active,Inventory Part,24144-2PLY-6L,24x144 2 Ply Poly Panel,M.L. Filters,24,144,,,8,f,14,
Active,Inventory Part,24144-3PLY-6L,24x144 3 Ply Poly Panel,M.L. Filters,24,144,,,8,f,14,
Active,Inventory Part,24192W-2PLY-6L,24x192 2 Ply Poly Panel,M.L. Filters,24,192,,,8,f,14,
Active,Inventory Part,24192W-3PLY-6L,24x192 3 Ply Poly Panel,M.L. Filters,24,192,,,8,f,14,
Active,Inventory Part,2424-2ply,24x24 2-Ply Poly Panel,M.L. Filters,24,24,,,8,f,14,
Active,Inventory Part,2424-3ply,24x24 3-Ply Poly Panel,M.L. Filters,24,24,,,8,f,14,
Active,Inventory Part,2424-5050WW-P,24x24 Poly Panels 2 Ply,M.L. Filters,24,24,,,8,f,14,
Active,Inventory Part,2424W-3PLY-P,24x24-  3 Ply Poly Panels,M.L. Filters,24,24,,,8,f,14,
Active,Inventory Part,2430-2ply,24x30 2-Ply Poly Panel,M.L. Filters,24,30,,,8,f,14,
Active,Inventory Part,2435-2ply,24 1/2 x 35 1/2  2-Ply Poly Panel,M.L. Filters,24.5,35.5,,,8,f,14,
Active,Inventory Part,2448-2ply,24x48 2 Ply Poly Panel,M.L. Filters,24,48,,,8,f,14,
Active,Inventory Part,2448W - 3PLY - 2L,24x48 3 Ply Poly Panel,M.L. Filters,24,48,,,8,f,14,
Active,Inventory Part,2460-2Ply,24x60 2-Ply Poly Panel,M.L. Filters,24,60,,,8,f,14,
Active,Inventory Part,2460-3Ply,24x60 3-Ply Poly Panel Special,M.L. Filters,24,60,,,8,f,14,
Active,Inventory Part,2472-3Ply,24x72 3-Ply Poly Panel Special,M.L. Filters,24,72,,,8,f,14,
Active,Inventory Part,2480-3ply-4L,"24"" X 80"" 3 PLY LINK FILTER",M.L. Filters,24,80,,,8,f,18,
Active,Inventory Part,2484-3ply,24x84 3-Ply Poly Panel,M.L. Filters,24,84,,,8,f,14,
Active,Inventory Part,2496-2ply,24x96 2Ply Poly Panel,M.L. Filters,24,96,,,8,f,14,
Active,Inventory Part,2496-3Ply,24x96 3-Ply Poly Panel Special,M.L. Filters,24,96,,,8,f,14,
Active,Inventory Part,2496W - 3PLY - 4L,"24"" X 96"" 3 PLY LINK FILTER",M.L. Filters,24,96,,,8,f,18,
Active,Inventory Part,251/2361/2-2ply,24 1/2 x 35 1/2  2-Ply Poly Panel,M.L. Filters,24.5,35.5,,,8,f,14,
Active,Inventory Part,25100-2ply,25x100  2-Ply Poly Panel,M.L. Filters,25,100,,,8,f,14,
Active,Inventory Part,25140-2PLY-7L,25x140 2-Ply Poly Link-7L,M.L. Filters,25,140,,,8,f,18,
Active,Inventory Part,2525-2Ply,25x25 2-Ply Panel,M.L. Filters,25,25,,,8,f,14,
Active,Inventory Part,2525-3ply,25x25 3-Ply Poly Panel,M.L. Filters,25,25,,,8,f,14,
Active,Inventory Part,2527-2Ply,25x27 2-Ply Panel,M.L. Filters,25,27,,,8,f,14,
Active,Inventory Part,2527-5050WW-P,25x27 2-Ply Panel,M.L. Filters,25,27,,,8,f,14,
Active,Inventory Part,2530-2ply,25x30 MZP 2-Ply Poly Panel,M.L. Filters,25,30,,,8,f,14,
Active,Inventory Part,2532-2ply,25x32 2ply Poly Panel,M.L. Filters,25,32,,,8,f,14,
