Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Active,Non-inventory Part,SBG12241294,** 12x24x12 4P Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,12,24,12,95%,16,f,1,
Active,Non-inventory Part,SBG12241543,12x24x15 3 Pocket Merv 9 Synthetic Bag Filter,Glasfloss Industries,12,24,15,Merv 9,9,f,1,
Active,Non-inventory Part,SBG12241563,"12x24x15, MERV 11 Depth Loading Synthetic Pocket Filter (3 pocket)",Glasfloss Industries,12,24,15,MERV 11,11,f,2,
Active,Non-inventory Part,SBG12241564,12x24x15 4 Pocket Merv 11 Synthetic Bag Filter,Glasfloss Industries,12,24,15,Merv 11,11,f,1,
Active,Non-inventory Part,SBG12241566CM,"12x24x15 MERV 11, 6-Pocket  Synthetic Bag Filter, No Gasket, Loops None, Cambridge Header, Galv. Steel Frame",Glasfloss Industries,12,24,15,MERV 11,11,f,1,
Active,Non-inventory Part,SBG12241586,"12x24x15 6-Pocket MERV 13 Synthetic Bag Filter, Galv. Steel Frame",Glasfloss Industries,12,24,15,MERV 13,13,f,1,
Active,Non-inventory Part,SBG12241594,"12x24x15, MERV 15 Depth Loading Synthetic Pocket Filter (4 pocket)",Glasfloss Industries,12,24,15,MERV 15,15,f,2,
Active,Non-inventory Part,SBG122421-95,12x24x21 3 Pocket Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,12,24,21,95%,16,f,1,
Active,Non-inventory Part,SBG16201286,16x20x12 85% 6 Pocket Bag Filter,Glasfloss Industries,16,20,12,85%,13,f,1,
Not-active,Non-inventory Part,SBG20201244,"20x20x12, 40% Depth Loading Synthetic Pocket Filter (4 pockets)",Glasfloss Industries,20,20,12,40%,7,f,2,
Active,Non-inventory Part,SBG20201286,"Synthetic Bag, 20x20x12 Merv 13 6P",Glasfloss Industries,20,20,12,Merv 13,13,f,1,
Active,Non-inventory Part,SBG202015,"Synthetic Bag, 20x20x15 MERV 15 8 Pockets, Gasket None, Loops None, Std Header, Nom Size",Glasfloss Industries,20,20,15,MERV 15,15,f,1,
Active,Non-inventory Part,SBG202021-95,20x20x21 6 Pocket Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,20,20,21,95%,16,f,1,
Active,Non-inventory Part,SBG20241295,20x24x12 Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,20,24,12,95%,16,f,1,
Active,Non-inventory Part,SBG202415,"20x24x15, MERV 11 Depth Loading Synthetic Pocket Filter (6 pocket)",Glasfloss Industries,20,24,15,MERV 11,11,f,2,
Active,Non-inventory Part,SBG20241586,20x24x15 6 Pocket 85% Synthetic Bag Filter (MERV 13),Glasfloss Industries,20,24,15,MERV 13,13,f,1,
Active,Non-inventory Part,SBG202421-95,20x24x21 6 Pocket Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,20,24,21,95%,16,f,1,
Active,Non-inventory Part,SBG20242298,20x24x22 Merv 15 Depth Load Sythetic 8-P,Glasfloss Industries,20,24,22,Merv 15,15,f,16,
Active,Non-inventory Part,SBG24241266E,24x24x12 6 Pocket Bag Filter 65% Synthetic Special Bag Filter,Glasfloss Industries,24,24,12,65%,11,f,1,
Active,Non-inventory Part,SBG24241285,24x24x12 6 Pocket Bag Filter 85% Synthetic Special Bag Filter,Glasfloss Industries,24,24,12,85%,13,f,1,
Active,Non-inventory Part,SBG24241286,24x24x12 6 Pocket Bag Filter 85% Synthetic Special Bag Filter,Glasfloss Industries,24,24,12,85%,13,f,1,
Active,Non-inventory Part,SBG24241288,24x24x12 8 Pocket Bag Filter 85% Synthetic Special Bag Filter,Glasfloss Industries,24,24,12,85%,13,f,1,
Active,Non-inventory Part,SBG24241296,24x24x12 6 Pocket Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,24,24,12,95%,16,f,1,
Active,Non-inventory Part,SBG24241546,24x24x15 6 Pocket Merv 9 Synthetic Bag Filter,Glasfloss Industries,24,24,15,Merv 9,9,f,1,
