Item,Description,Preferred Vendor #,height,width,depth,Category #,merv_rating
AMPGP-10302,10x30x2 Class 1- Pleated Filter Galvanized Frame..W/Handles on MIDDLE  LONG SIDE ..Galvanized ..Metal Screen Both Sides..High Capacity,9,10,30,2,16,7
AMPHC-24242,24x24x2 Class 1 - High Temp Galv. Steel Filter..,9,24,24,2,13,4
CMS-CARB 1/1 G M13,"24x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",21,24,24,12,4,8
CMS-CARB 1/1 G M14,"24x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",22,24,24,12,4,14
CP-M15-202015-08,"20x20x15 (90-95%) Synthetic Bag Filter, 8-Pocket",11,20,20,15,1,12
F-F51224-CFC-W,EFS F5 MERV 8 CFC Coalescing Pocket Filter 12x24x12 6P,12,12,24,12,2,2
F-F52424-CFC-W,EFS F5 MERV 8 CFC Coalescing Pocket Filter 24x24x12 6P,12,24,24,12,2,5
F-F5SS1224-RP-W,"EFS F5 (MERV 8)  Reverse Pocket Filter (12x24x13), Synthetic Pocket Filter (3 pockets)",12,12,24,13,2,9
F-F5SS2424-RP-W,"EFS F5 (MERV 8)  Reverse Pocket Filter (24x24x13), Synthetic Pocket Filter (6 pockets)",12,24,24,13,2,15
F-G41224-CFC-W,EFS G4 CFC Coalescing Pocket Filter 12x24x15 Synthetic 3P,12,12,24,15,2,3
F-G42424-CFC-W,EFS G4 CFC Coalescing Pocket Filter 24x24x15 Synthetic 6P,12,24,24,15,2,3
F-G4SS1224-RP-W,EFS G4 Reverse 3-Pocket Filter 12x24x13 Synthetic,12,12,24,13,2,15
F-G4SS2024-RP-W,EFS G4 Reverse 4-Pocket Filter 20x24x13 Synthetic,12,20,24,13,2,13
F-G4SS2424-RP-W,EFS G4 Reverse 6-Pocket Filter 24x24x13 Synthetic,12,24,24,13,2,12
F-SBP-MERV8-45122-,"METRO, Filter, Air, HVAC pleated..45-3/4"" x 12-1/4"" x 1-3/4""; MERV 8, Pleated Filter..METRO PN: 171358N",23,45.75,12.25,1.75,16,6
F45S 1/1,Viledon  24x24x13  45% Pocket,10,24,24,13,2,3
F5-06-122422,"12x24x22, F5 (50%), 6 Pocket, Synthetic Bag Filter with Extruded Aluminum Frame",12,12,24,22,1,2
F5-06-242422,"24x24x22, F5 (50%), 6 Pocket, Synthetic Bag Filter with Extruded Aluminum Frame",12,24,24,22,1,14
F5-242424-6W,"EFS 24x24x24, 50% Depth Loading Synthetic Pocket Filter (6 pockets)",12,24,24,24,2,5
F5-242426-6W,"EFS 24x24x26, 50% Depth Loading Synthetic Pocket Filter (6 pockets)",12,24,24,26,2,16
F50 1/1,Viledon  24x24x26  50% Pocket,10,24,24,26,2,8
F50 1/2,Viledon  12x24x26  50% Pocket,10,12,24,26,2,14
F5S-122418-3W,"EFS 12x24x18, 50% Depth Loading Synthetic Pocket Filter (3 pockets)",12,12,24,18,2,6
F5S-242418-6W,"EFS 24x24x18, 50% Depth Loading Synthetic Pocket Filter (6 pockets)",12,24,24,18,2,16
F5S-242420-6W,"EFS F5 Pocket Filter (24x24x20), Synthetic Pocket Filter (6 pockets)",12,24,24,20,2,2
F5SS-122412-3W,"EFS 12x24x12, 50% Depth Loading Synthetic Pocket Filter (3 pockets)",12,12,24,12,2,10
F5SS-202412-6W,EFS 20x24x12 MERV 8 Depth Loading Synthetic Pocket Filter (6 pockets),12,20,24,12,2,1
F5SS-242412-6W,"EFS 24x24x12, 50% Depth Loading Synthetic Pocket Filter (6 pockets)",12,24,24,12,2,7
F6-122424-3W,"EFS 12x24x24, 60% Depth Loading Synthetic Pocket Filter (3 pockets)",12,12,24,24,2,16
F6-242424-8W,"EFS 24x24x24, 60% Depth Loading Synthetic Pocket Filter (8 pockets)",12,24,24,24,2,4
F6-242426-8W,"EFS 24x24x26, 60% Depth Loading Synthetic Pocket Filter (8 pockets)",12,24,24,26,2,10
F6S-122418-3W,"EFS 12x24x18, 60% Depth Loading Synthetic Pocket Filter (4 pockets)",12,12,24,18,2,11
F6S-242418-8W,"EFS 24x24x18, 60% Depth Loading Synthetic Pocket Filter (8 pockets)",12,24,24,18,2,16
F6SS-122412-3W,"EFS 12x24x12, 60% Depth Loading Synthetic Pocket Filter (3 pockets)",12,12,24,12,2,10
F6SS-242412-8W,"EFS 24x24x12, 60% Depth Loading Synthetic Pocket Filter (8 pockets)",12,24,24,12,2,6
F6V3-2020-GWB,MERV 11 (65%) 3V-Bank Filter (20x20x12) w/DSG,12,20,20,12,4,8
F6V4-1224-GWB,MERV 11 (65%) 4V-Bank Filter (12x24x12) w/DSG,12,12,24,12,4,4
F6V4-2024-GWB,MERV 11 (65%) 4V-Bank Filter (20x24x12) w/DSG,12,20,24,12,4,10
F6V4-2424-GWB,MERV 11 (65%) 4V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,2
F6WR-242426-6W,"EFS 24x24x26, with Rubber Boot, Water Resistant , Depth Loading Synthetic Pocket Filter (6 pockets)",12,24,24,26,2,11
F6WR-242426-8W,"EFS 24x24x26, with Rubber Boot, Water Resistant , Depth Loading Synthetic Pocket Filter (8 pockets)",12,24,24,26,2,7
F7-242424-8W,"EFS 24x24x24,  Depth Loading Synthetic Pocket Filter (8 pockets)",12,24,24,24,2,6
F7242724PKT-9P,"F7 24X27X24 9 Pockets NO GASKET..Semi-rigid media, HF welding + inner spacers..",12,24,27,24,2,14
F7242724PKT-9PDSG,"F7 24X27X24 9 Pockets DSG..Semi-rigid media, HF welding + inner spacers..",12,24,27,24,2,14
F7V2-1224-GWB,"MERV 13, 2V-Bank Filter (12x24x12) w/DSG",12,12,24,12,4,13
F7V2-2424-GWB,"MERV 13, 2V-Bank Filter (24x24x12) w/DSG",12,24,24,12,4,16
F7V3-2020-GWB,MERV 13 3V-Bank Filter (20x20x12) w/DSG,12,20,20,12,4,15
F7V4-1224-GWB,MERV 13 4V-Bank Filter (12x24x12) w/DSG,12,12,24,12,4,5
F7V4-2024-GWB,MERV 16 (95%) 4V-Bank Filter (20x24x12) w/DSG,12,20,24,12,4,6
F7V4-2424-GWB,MERV 13 4V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,2
F7V4-2424-W,MERV 13 4V-Bank Filter (24x24x12) No gasket,12,24,24,12,4,11
F8-06-122415-W,"F8 (95%) 6 Pocket, Synthetic Bag Filter (12x24x15) with Extruded Aluminum Frame",12,12,24,15,1,5
F8-06-242415-W,"F8 (95%) 6 Pocket, Synthetic Bag Filter (24x24x15) with Extruded Aluminum Frame",12,24,24,15,1,8
F8-08BAG122422,"EFS 12x24x22, F8/MERV 14, 4 Pocket Bag Filter with Aluminum Frame",12,12,24,22,1,6
F8-08BAG242422,"EFS 24x24x22, F8/MERV 14, 8 Pocket Bag Filter with Aluminum Frame",12,24,24,22,1,4
F8V2-1224-GWB,MERV 16 (95%) 2V-Bank Filter (12x24x12) w/DSG,12,12,24,12,4,4
F8V2-2424-GWB,MERV 16 (95%) 2V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,7
F8V3-2020-GWB,MERV 16 (95%) 3V-Bank Filter (20x20x12) w/DSG,12,20,20,12,4,2
F8V4-1220-GWB,MERV 15 (95%) 4V-Bank Filter (12x20x12) w/DSG,12,12,20,12,4,13
F8V4-1224-GWB,MERV 16 (95%) 4V-Bank Filter (12x24x12) w/DSG,12,12,24,12,4,4
F8V4-1224-W,MERV 16 (95%) 4V-Bank Filter (12x24x12) NO GASKET,12,12,24,12,4,11
F8V4-2024-GWB,MERV 16 (95%) 4V-Bank Filter (20x24x12) w/DSG,12,20,24,12,4,13
F8V4-2424-GWB,MERV 16 (95%) 4V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,11
F8V4-2424-GWB-R,MERV 16 (95%) Reverse 4V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,1
F8V4-2424-W,MERV 16 (95%) 4V-Bank Filter (24x24x12) NO GASKET,12,24,24,12,4,12
F8V4GL-1224-GWB,MERV 16 Glass Media (95%) 4V-Bank Filter (12x24x12) w/DSG,12,12,24,12,4,5
F8V4GL-2024-GWB,MERV 15 Glass Media (95%) 4V-Bank Filter (20x24x12) w/DSG,12,20,24,12,4,16
F8V4GL-2424-GWB,MERV 15 Glass Media (95%) 4V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,6
F9V4-1224-GWB,EFS F9 96% 4V-Bank Filter (12x24x12) w/DSG,12,12,24,12,4,6
F9V4-2424-GWB,EFS F9 96% 4V-Bank Filter (24x24x12) w/DSG,12,24,24,12,4,13
FGP-CARB 1/1 G,"24x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",12,24,24,12,4,10
FGP-CARB 1/2 G,"12x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",12,12,24,12,4,14
FGP-CARB 5/6 G,"20x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",12,20,24,12,4,13
FGP-CARBM14 1/1 G,"24x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w/DSG",12,24,24,12,4,6
FGP-CARBM14 1/2 G,"12x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w/DSG",12,12,24,12,4,6
FGP-CARBM14 5/6 G,"20x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w/DSG",12,20,24,12,4,7
FGP-CARBM15 1/1 G,"24x24x12, V-Bank Style Extended Surface Carbon MERV15 Filter w/DSG",12,24,24,12,4,3
FGP-CARBM15 1/2 G,"12x24x12, V-Bank Style Extended Surface Carbon MERV15 Filter w/DSG",12,12,24,12,4,11
FGP-CARBW-M14 1/1G,"MERV 14, 24x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",12,24,24,12,4,10
FGP-CARBW-M14 1/2G,"MERV 14, 12x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG",12,12,24,12,4,10
FHT-F6-12122W,"EFS High Temp. Air Filter, 12""x12""x2"" ..aluminum Frame, Glass Fiber media",12,12,12,2,13,13
FHT-F6-20244,"EFS High Temp. Air Filter, 20x24x4 w/ Galvanized Frame",12,20,24,4,13,15
FHT-F6-232312W-DH,"EFS High Temp. Air Filter, 23-3/8"" x 23-3/8"" x  11ÃÂÃÂÃÂÃÂ½"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, Double Header, High Capacity, Rated 2000 cfm",12,23.375,23.375,11,13,8
FHT-F6-232312W-SH,"EFS High Temp. Air Filter, 23-3/8"" x 23-3/8"" x  11ÃÂÃÂÃÂÃÂ½"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, Single Header, High Capacity, Rated 2000 cfm",12,23.375,23.375,11,13,1
FHT-F6-23234W,"EFS High Temp. Air Filter, 23-3/8"" x 23-3/8"" x 3-1/2"" ..aluminum Frame, Glass Fiber media",12,23.375,23.375,3.5,13,14
FHT-F6-24242W,"EFS High Temp. Air Filter, 24"" x 24"" x 2"" ..aluminum Frame, Glass Fiber media",12,24,24,2,13,9
FHT-F8-12244W,"EFS High Temp. Air Filter, F8, 12"" x 24"" x 4"" (305x610x120mm) with Aluminum Frame, Glass Fiber media; no header",12,12,24,4,13,7
FHT-F8-232312W,"EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11ÃÂÃÂÃÂÃÂ½"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, NO HEADER, High Capacity, Rated 2000 cfm",12,23.375,23.375,11,13,2
FHT-F8-232312W-DH,"EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11ÃÂÃÂÃÂÃÂ½"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, Double Header, High Capacity, Rated 2000 cfm",12,23.375,23.375,11,13,5
FHT-F8-232312W-SH,"EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11ÃÂÃÂÃÂÃÂ½"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, Single Header, High Capacity, Rated 2000 cfm",12,23.375,23.375,11,13,8
FHT-F8-23234W,"EFS High Temp. Air Filter, 23-3/8"" x 23-3/8"" x 3-1/2"" ..aluminum Frame, Glass Fiber media",12,23.375,23.375,3.5,13,3
FHT-F8-24244W,"F8/MERV 14, High Temperature Air Filter,..24"" x 24"" x 4""; Glass Fiber media; no header",12,24,24,4,13,4
FP-4VH13HEPA-1123115-WGH,"EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8"" x 11-1/2"" with Plastic Frame HEADER, Wet Laid Glass Mini Pleated media",12,11.375,23.375,11.5,10,12
FP-4VH13HEPA-191912-WGH,"EFS H13 (99.99%) High Volume HEPA Filter, V4-bank style19-3/8 x 19-3/8 x 12  with 20mm HEADER, Blue Plastic Frame, Wet Laid Glass Mini Pleated media",12,19.375,19.375,12,10,1
FP-4VH13HEPA-2323115-WGH,"EFS H13 (99.99%) High Volume HEPA Filter, V4-bank style 23-3/8"" x 23-3/8"" x 11-1/2"" with 20mm HEADER, Blue Plastic Frame, Wet Laid Glass Mini Pleated media",12,23.375,23.375,11.5,10,13
FP-H10HEPA-2424115-WPP,"EFS H10 (99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" (610x610x292mm) with Plastic Frame, 100% Synthetic media",12,24,24,11.5,10,13
FP-H13HEPA-1123115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8"" x 11-1/2"" with Plastic Frame, Wet Laid Glass Mini Pleated media",12,11.375,23.375,11.5,10,16
FP-H13HEPA-1224115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 12"" x 24"" x 11.5"" with Plastic Frame, Wet Laid Glass Mini Pleated media",12,12,24,11.5,10,13
FP-H13HEPA-2323115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 23-3/8"" x 23-3/8"" x 11-1/2"" with Plastic Frame, Wet Laid Glass Mini Pleated media",12,23.375,23.375,11.5,10,3
FP-H13HEPA-2424115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" with Plastic Frame, Wet Laid Glass Mini Pleated media",12,24,24,11.5,10,10
FP-H14ALUMHEPA-2424115,"EFS H14 (99.99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" with Aluminum Frame, Wet Laid Glass Mini Pleated media",12,24,24,11.5,10,6
FP-H14HEPA-1212115-WG,H14 99.99% Alum Sep HEPA 12x12x11ÃÂÃÂÃÂÃÂ½..Powder Coated Nets DSG Plastic Frame,12,12,12,11,10,7
FP-H14HEPA-1818115-WG,H14 99.99% Alum Sep HEPA 18x18x11ÃÂÃÂÃÂÃÂ½..Powder Coated Nets DSG Plastic Frame,12,18,18,11,10,2
FP-H14HEPA-242012-WG,"EFS H14 (99.999%) High Volume HEPA Filter, 24x20x12"" with Plastic Frame, Wet Laid Glass Mini Pleated media",12,24,20,12,10,11
FP-H14HEPA-2424115-WG,"EFS H14 (99.999%) High Volume ULPA Filter, 24"" x 24"" x 11.5"" with Plastic Frame, Wet Laid Glass Mini Pleated media",12,24,24,11.5,11,2
FPG-H13HEPA-1123115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8"" x 11-1/2"" with GALV. Frame, Wet Laid Glass Mini Pleated media",12,11.375,23.375,11.5,10,15
FPG-H13HEPA-2323115-WG,"H13 (99.99%) High Volume HEPA Filter, Galv. Frame,..23-3/8"" x 23-3/8"" x 11-1/2"" (592x592x292mm), ..H13 Glass Mini Pleated Media",12,23.375,23.375,11.5,10,1
FV4XLCG,"24x24x15 MERV 16 F9 Turbine V-Bank Filter ,Micro-Glass Fiber, Plastic Frame",12,24,24,15,4,14
HT-242412-GALWT,"HT Filter Box Style Galvanized Frame 24x24x12(610x610x292)  Glass fiber media,with galvanized protection nets on both sides, with glass fiber gasket+metal support on CAS; 4250m3/h, Temp <=350ÃÂÃÂÃÂÃÂ°C",12,24,24,12,3,10
M1310101,10x10x1 MERV 13 Pleated Filter,23,10,10,1,16,14
M1310121SP,10x12x1 MERV 13 Pleated Filter,23,10,12,1,16,9
M1310151SP,10x15x1 Special MERV 13 Pleated Filter,23,10,15,1,16,16
M1310182SP,10x18x2 MERV 13 Pleated Filter,23,10,18,2,16,5
M1310201,10x20x1 MERV 13 Pleated Filter,23,10,20,1,16,15
M1310202,10x20x2 MERV 13 Pleated Filter,23,10,20,2,16,11
M1310241,10x24x1 MERV 13 Pleated Filter,23,10,24,1,16,16
M1310251,10x25x1 MERV 13 Pleated Filter,23,10,25,1,16,14
M1310252,10x25x2 MERV 13 Pleated Filter,23,10,25,2,16,5
M1310301,10x30x1 MERV 13 Pleated Filter,23,10,30,1,16,3
M1310331SP,10x33x1 Special MERV 13 Pleated Filter,23,10,33,1,16,9
M1312121,12x12x1 MERV 13 Pleated Filter,23,12,12,1,16,2
M1312122,12x12x2 MERV 13 Pleated Filter,23,12,12,2,16,5
M1312124,12x12x4 MERV 13 Pleated Filter,23,12,12,4,16,7
M1312201,12x20x1 MERV 13 Pleated Filter,23,12,20,1,16,12
M1312202,12x20x2 MERV 13 Pleated Filter,23,12,20,2,16,10
M1312241,12x24x1 MERV 13 Pleated Filter,23,12,24,1,16,9
M1312242,12x24x2 MERV 13 Pleated Filter,23,12,24,2,16,5
M1312244,12x24x4 MERV 13 Pleated Filter,23,12,24,4,16,5
M1312251,12x25x1 MERV 13 Pleated Filter,23,12,25,1,16,6
M1312301,12x30x1 MERV 13 Pleated Filter,23,12,30,1,16,5
M1314141,14x14x1 MERV 13 Pleated Filter,23,14,14,1,16,12
M1314142SP,Special 14x14x2 MERV 13 Pleated Filter,23,14,14,2,16,8
M1314182,14x18x2 SPECIAL MERV 13 Pleated Filter,23,14,18,2,16,14
M1314191SP,14x19x1 Special MERV 13 Pleated Filter,23,14,19,1,16,13
M1314201,14x20x1 MERV 13 Pleated Filter,23,14,20,1,16,7
M1314201SP,14x20x1 MERV 13 Pleated Filter,23,14,20,1,16,4
M1314202,14x20x2 MERV 13 Pleated Filter,23,14,20,2,16,6
M1314211SP,14x21x1 MERV 13 Pleated Filter,23,14,21,1,16,6
M1314241,14x24x1 MERV 13 Pleated Filter,23,14,24,1,16,8
M1314251,14x25x1 MERV 13 Pleated Filter,23,14,25,1,16,6
M1314252,14x25x2 MERV 13 Pleated Filter,23,14,25,2,16,4
M1314261SP,14x26x1 MERV 13 Pleated Filter,23,14,26,1,16,11
M1314301,14x30x1 MERV 13 Pleated Filter,23,14,30,1,16,13
M1315.5241SP,15.5x24x1 Special MERV 13 Pleated Filter,23,15.5,24,1,16,2
M1315.5242SP,15.5x24x2 Special MERV 13 Pleated Filter,23,15.5,24,2,16,9
M1315181SP,15x18x1 Special MERV 13 Pleated Filter,23,15,18,1,16,14
M1315201,15x20x1 MERV 13 Pleated Filter,23,15,20,1,16,7
M1315202,15x20x2 MERV 13 Pleated Filter,23,15,20,2,16,3
M1315241SP,15x24x1 Special MERV 13 Pleated Filter,23,15,24,1,16,7
M1315251SP,15x25x1 MERV 13 Pleated Filter,23,15,25,1,16,12
M1315301SP,15x30x1 Special MERV 13 Pleated Filter,23,15,30,1,16,13
M131530K1,15x30 5/8x1 MERV 13 Pleated Filter,23,15,30.625,1,16,1
M1315311SP,15x31x1 Special MERV 13 Pleated Filter,23,15,31,1,16,13
M1316161,16x16x1 MERV 13 Pleated Filter,23,16,16,1,16,9
M1316162,16x16x2 MERV 13 Pleated Filter,23,16,16,2,16,14
M1316164SP,16x16x4 Special MERV 13 Pleated Filter,23,16,16,4,16,1
M1316171SP,16x17.5x1 MERV 13 Pleated Filter,23,16,17.5,1,16,13
M1316181SP,16x18x1 Special MERV 13 Pleated Filter,23,16,18,1,16,9
M1316182SP,16x18x2 Special MERV 13 Pleated Filter,23,16,18,2,16,15
M1316184SP,16x18x4 Special MERV 13 Pleated Filter,23,16,18,4,16,15
M1316191SP,16x19x1 Special MERV 13 Pleated Filter,23,16,19,1,16,1
M1316201,16x20x1 MERV 13 Pleated Filter,23,16,20,1,16,15
M1316202,16x20x2 MERV 13 Pleated Filter,23,16,20,2,16,1
M1316204,16x20x4 MERV 13 Pleated Filter,23,16,20,4,16,2
M1316211SP,16x21x1 MERV 13 Pleated Filter,23,16,21,1,16,10
M1316222SP,16x22x2 MERV 13 Pleated Filter,23,16,22,2,16,8
M1316231SP,16x23x1 MERV 13 Pleated Filter,23,16,23,1,16,10
M1316241,16x24x1 MERV 13 Pleated Filter,23,16,24,1,16,13
M1316242,16x24x2 MERV 13 Pleated Filter,23,16,24,2,16,9
M1316251,16x25x1 MERV 13 Pleated Filter,23,16,25,1,16,3
M1316252,16x25x2 MERV 13 Pleated Filter,23,16,25,2,16,9
M1316254,16x25x4 MERV 13 Pleated Filter,23,16,25,4,16,5
M1316291SP,16x29x1 MERV 13 Pleated Filter,23,16,29,1,16,13
M1316301,16x30x1 MERV 13 Pleated Filter,23,16,30,1,16,15
M1316302SP,16x30x2 Special MERV 13 Pleated Filter,23,16,30,2,16,13
M1316321SP,16x32x1 Special MERV 13 Pleated Filter,23,16,32,1,16,6
M1316322SP,16x32x2 Special MERV 13 Pleated Filter,23,16,32,2,16,3
M1316451SP,16x45x1 MERV 13 Pleated Filter,23,16,45,1,16,2
M1317201SP,17x20x1 MERV 13 Pleated Filter,23,17,20,1,16,13
M1317211SP,17x21x1 MERV 13 Pleated Filter,23,17,21,1,16,14
M1317221SP,17x22x1 Special MERV 13 Pleated Filter,23,17,22,1,16,15
M1317241SP,17x24x1 MERV 13 Pleated Filter,23,17,24,1,16,15
M1317281SP,17x22x1 Special MERV 13 Pleated Filter,23,17,22,1,16,2
M1318102SP,18x10x2 Special MERV 13 Pleated Filter,23,18,10,2,16,7
M1318181,18x18x1 MERV 13 Pleated Filter,23,18,18,1,16,8
M1318182,18x18x2 MERV 13 Pleated Filter,23,18,18,2,16,5
M1318201,18x20x1 MERV 13 Pleated Filter,23,18,20,1,16,8
M1318202,18x20x2 MERV 13 Pleated Filter,23,18,20,2,16,13
M1318222SP,18x22x2 Special MERV 13 Pleated Filter,23,18,22,2,16,2
M1318241,18x24x1 MERV 13 Pleated Filter,23,18,24,1,16,6
M1318242,18x24x2 MERV 13 Pleated Filter,23,18,24,2,16,16
M1318244,18x24x4 MERV 13 Pleated Filter,23,18,24,4,16,6
M1318251,18x25x1 MERV 13 Pleated Filter,23,18,25,1,16,13
M1318252,18x25x2 MERV 13 Pleated Filter,23,18,25,2,16,5
M1318301,18x30x1 MERV 13 Pleated Filter,23,18,30,1,16,10
M1319252SP,19x25x2 Special MERV 13 Pleated Filter,23,19,25,2,16,12
M1319261SP,19x26x1 MERV 13 Pleated Filter,23,19,26,1,16,11
M1319471SP,19x47x1 MERV 13 Pleated Filter,23,19,47,1,16,7
M1320201,20x20x1 MERV 13 Pleated Filter,23,20,20,1,16,8
M1320202,20x20x2 MERV 13 Pleated Filter,23,20,20,2,16,13
M1320204,20x20x4 MERV 13 Pleated Filter,23,20,20,4,16,13
M1320211SP,20x21x1 MERV 13 Pleated Filter,23,20,21,1,16,5
M1320221,20x22x1 MERV 13 Pleated Filter,23,20,22,1,16,8
M1320241,20x24x1 MERV 13 Pleated Filter,23,20,24,1,16,9
M1320242,20x24x2 MERV 13 Pleated Filter,23,20,24,2,16,13
M1320244,20x24x4 MERV 13 Pleated Filter,23,20,24,4,16,4
M1320251,20x25x1 MERV 13 Pleated Filter,23,20,25,1,16,10
M1320252,20x25x2 MERV 13 Pleated Filter,23,20,25,2,16,9
M1320254,20x25x4 MERV 13 Pleated Filter,23,20,25,4,16,9
M1320272,20x27x2 Special MERV 13 Pleated Filter,23,20,27,2,16,14
M1320301,20x30x1 MERV 13 Pleated Filter,23,20,30,1,16,16
M1320302,20x30x2 MERV 13 Pleated Filter,23,20,30,2,16,5
M1320371SP,20x37x1 MERV 13 Pleated Filter,23,20,37,1,16,1
M1320401SP,20x40x1 MERV 13 Pleated Filter,23,20,40,1,16,13
M1320561SP,20x56x1 MERV 13 Pleated Filter,23,20,56,1,16,16
M1321211SP,21x21x1 MERV 13 Pleated Filter,23,21,21,1,16,12
M1321301SP,21x30x1 MERV 13 Pleated Filter,23,21,30,1,16,8
M1321302SP,21x30x2 Special MERV 13 Pleated Filter,23,21,30,2,16,7
M1322221SP,22x22x1 MERV 13 Pleated Filter,23,22,22,1,16,4
M1322241SP,22x24x1 MERV 13 Pleated Filter,23,22,24,1,16,15
