Item,Description,Preferred Vendor #,height,width,depth,Category #,merv_rating
ZLP8241SP,"8x24x1 (MERV 10) SC Pleated Filter, SPCL",23,8,24,1,16,11
ZLP8341SP,"8x34x1 (MERV 10) SC Pleated Filter, SPCL",23,8,34,1,16,11
ZPK122412,12x24x12 Rigid Box Filter 95% Fiberglass,23,12,24,12,3,9
ZPK24241285,24.0 X 24.0 X 12 in Glass Z-PAK MERV 13 (85%) Box  Nominal,23,24,24,12,3,13
ZPK24241295,24x24x12 Rigid Box Filter 95% Fiberglass,23,24,24,12,3,15
ZPS122412-65NH,12x24x12 Synthetic Media 65% Rigid Box Filter Non-Headered,23,12,24,12,3,7
ZPS122412-85NH,12x24x12 Synthetic Media 85% Rigid Box Filter Non-Headered,23,12,24,12,3,6
ZPS122412-95NH,12x24x12 Synthetic Media 95% Rigid Box Filter Non-Headered,23,12,24,12,3,8
ZPS12241285BO,"12.0 X 24.0 X 12 in Synthetic Z-PAK MERV 13 (85%) Box Frame Nominal, Non-Headered",23,12,24,12,3,15
ZPS122412F-95NH,12x24x12 Fiberglass Media (MERV 15) 95% Rigid Box Filter Non-Headered,23,12,24,12,3,1
ZPS12246-Merv14,12x24x6 Synthetic Merv 14 Rigid Box Filter,23,12,24,6,3,6
ZPS1224665-NH,12x24x6 Synthetic 65% Rigid Box Non-Header,23,12,24,6,3,14
ZPS1224665HO,12x24x6 (MERV 14) Synthetic 65% Rigid Box HEADERED,23,12,24,6,3,7
ZPS1224695-HO,12 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal HEADERED,23,12,24,6,3,2
ZPS1224695-NH,12 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal,23,12,24,6,3,4
ZPS162012-95DH,16x20x12 Synthetic Media 95% Rigid Box Filter Double-Headered,23,16,20,12,3,12
ZPS16201295BO,16x20x12 Rigid Air Box Sytle filter 95% Metal Frame,23,16,20,12,3,1
ZPS16201295HO,16x20x12 Rigid Air Box Sytle filter 95% Metal Frame Single Header,23,16,20,12,3,15
ZPS1620685H,16.0 X 20.0 X 6 in Synthetic Z-PAK MERV13..(85%) Box Nominal-HEADER,23,16,20,6,3,9
ZPS162512-95DH,16x25x12 Synthetic Media 95% Rigid Box Filter Double-Headered,23,16,25,12,3,8
ZPS162512-95NH,16x25x12 Synthetic Media 95% Rigid Box Filter Non-Headered,23,16,25,12,3,5
ZPS202012-85 NH,20x20x12 Rigid Box Filters 85% Synthetic Non Headered,23,20,20,12,3,1
ZPS202012-95DH,20x20x12 Synthetic Media 95% Rigid Box Filter Double-Headered,23,20,20,12,3,4
ZPS202012-95H,20x20x12 Synthetic Media 95% Rigid Box Filter Headered,23,20,20,12,3,1
ZPS202012-95NH,20x20x12 Synthetic Media 95% Rigid Box Filter Non-Headered,23,20,20,12,3,14
ZPS202412-95H,20x24x12 Synthetic Media 95% Rigid Box Filter Headered,23,20,24,12,3,3
ZPS202412-95NH,20x24x12 Synthetic Media 95% Rigid Box Filter - No Headered,23,20,24,12,3,13
ZPS202512-95NH,20x25x12 Synthetic Media 95% Rigid Box Filter Non-Headered,23,20,25,12,3,16
ZPS2025685-H,20x25x6 Synthetic Media 85% Rigid Box Filter Non-Headered,23,20,25,6,3,2
ZPS242412-65NH,24x24x12 Synthetic Media 65% Rigid Box Filter Non-Headered,23,24,24,12,3,7
ZPS242412-85NH,24x24x12 Synthetic Media 85% Rigid Box Filter Non-Headered,23,24,24,12,3,8
ZPS242412-95H,24x24x12 Rigid Box Filters 95% Sythentic Single Header,23,24,24,12,3,6
ZPS242412-95NH,24x24x12 Synthetic Media 95% Rigid Box Filter Non-Headered,23,24,24,12,3,10
ZPS24241285BO,"24.0 X 24.0 X 12 in Synthetic Z-PAK MERV 13 (85%) Box Frame Nominal, Non-Headered",23,24,24,12,3,10
ZPS242412F-95NH,24x24x12 Fiberglass Media (MERV 15) 95% Rigid Box Filter Non-Headered,23,24,24,12,3,1
ZPS24246,24x24x6 Synthetic 85% Rigid Box Filter,23,24,24,6,3,13
ZPS24246-Merv14,24x24x6 Synthetic Merv 14 Rigid Box Filter,23,24,24,6,3,14
ZPS2424665-NH,24x24x6 Synthetic 65% Rigid Box Non-Header,23,24,24,6,3,15
ZPS2424665HO,24x24x6 Synthetic 65% Rigid Box HEADERED,23,24,24,6,3,3
ZPS2424695-HO,24 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal HEADERED,23,24,24,6,3,3
ZPS2424695-NH,24 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal,23,24,24,6,3,5
ZPS2424695BO,24x24x6 Synthetic MERV 14 Rigid Box Non-Header,23,24,24,6,3,9
