Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
M1314251,14x25x1 MERV 13 Pleated Filter,Glasfloss Industries,14x25x1,14.0,25.0,1.0,MERV 13,13.0,air_filter
M1314252,14x25x2 MERV 13 Pleated Filter,Glasfloss Industries,14x25x2,14.0,25.0,2.0,MERV 13,13.0,air_filter
M1314261SP,14x26x1 MERV 13 Pleated Filter,Glasfloss Industries,14x26x1,14.0,26.0,1.0,MERV 13,13.0,air_filter
M1314301,14x30x1 MERV 13 Pleated Filter,Glasfloss Industries,14x30x1,14.0,30.0,1.0,MERV 13,13.0,air_filter
M1315.5241SP,15.5x24x1 Special MERV 13 Pleated Filter,Glasfloss Industries,15.5x24x1,15.5,24.0,1.0,MERV 13,13.0,air_filter
M1315.5242SP,15.5x24x2 Special MERV 13 Pleated Filter,Glasfloss Industries,15.5x24x2,15.5,24.0,2.0,MERV 13,13.0,air_filter
M1315181SP,15x18x1 Special MERV 13 Pleated Filter,Glasfloss Industries,15x18x1,15.0,18.0,1.0,MERV 13,13.0,air_filter
M1315201,15x20x1 MERV 13 Pleated Filter,Glasfloss Industries,15x20x1,15.0,20.0,1.0,MERV 13,13.0,air_filter
M1315202,15x20x2 MERV 13 Pleated Filter,Glasfloss Industries,15x20x2,15.0,20.0,2.0,MERV 13,13.0,air_filter
M1315241SP,15x24x1 Special MERV 13 Pleated Filter,Glasfloss Industries,15x24x1,15.0,24.0,1.0,MERV 13,13.0,air_filter
M1315251SP,15x25x1 MERV 13 Pleated Filter,Glasfloss Industries,15x25x1,15.0,25.0,1.0,MERV 13,13.0,air_filter
M1315301SP,15x30x1 Special MERV 13 Pleated Filter,Glasfloss Industries,15x30x1,15.0,30.0,1.0,MERV 13,13.0,air_filter
M131530K1,15x30 5/8x1 MERV 13 Pleated Filter,Glasfloss Industries,15x30 5/8x1,15.0,30.625,1.0,MERV 13,13.0,air_filter
M1315311SP,15x31x1 Special MERV 13 Pleated Filter,Glasfloss Industries,15x31x1,15.0,31.0,1.0,MERV 13,13.0,air_filter
