Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
2040W-3PLY-2,20x40 3 Ply Poly Panel,,20x40,20.0,40.0,,,,air_filter
Air Filtration Log/Sheet Book,"To ensure the Title 22 Code of Regulations Compliance- AFC provides a written record of inspection, cleaning and/or replacement.  Log book/binder includes; Technical Regulations & Procedures; detailed filter information, log sheets to all filters AFC w...",,,,,,,,air_filter
CI-M145P-12204-,12x20x4 MERV 15 Mini Pleat Plastic Frame,"Columbus Industries, Inc.",12x20x4,12.0,20.0,4.0,MERV 15,15.0,air_filter
F-CUBE-V2424-CV,Pre-filter Carbon cube for 24x24x12 V4-Bank Filters,AFC Manufacturing,24x24x12,24.0,24.0,12.0,,,air_filter
012-100093,"Down Stream Gasketing, Neoprene",Caldwell Gasket,,,,,,,stock_item
012-100096,Upstream Gasketing,Caldwell Gasket,,,,,,,stock_item
012-SCE-.25,"Sponge, SCE41, 0.25"" thick ...25"" x.492 x 22.625""L",Caldwell Gasket,".25"" x.492 x 22.625",0.25,0.492,22.625,,,stock_item
013-100093-N,"Filter Gasketing Neoprene 22 7/8"" x 1/4"" x 1/2"" Cut Strips","Wetzel Technologies Co., Ltd","22 7/8"" x 1/4"" x 1/2""",22.875,0.25,0.5,,,air_filter
01ME01-30820106,HILCO OIL MIST ELIMINATOR..(HILCO DWG #3082-01-006-C),Hilliard Corporation,,,,,,,stock_item
07-4000-18,"V-MOD, 18"" Single Lamp","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4001-24,"V-MOD, 24"" Single Lamp","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4002-36,"V-MOD, 36"" Single Lamp","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4040-01-MT,"Lamp, 21"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4040-02-MT,"Lamp, 33"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
10014-056,"HILCO REPAIR KIT - 2"" E STYLE VALVE",Hilliard Corporation,,,,,,,sales_item
10014-062,"HILCO REPAIR KIT - 3"" E STYLE VALVE",Hilliard Corporation,,,,,,,sales_item
10014-096,"Soft Goods Repair Kit..O-Rings, Pads, & Stem.. HILCO Transfer Valve Model F-20B-150P-001",Hilliard Corporation,,,,,,,sales_item
10014-SER,"Soft Goods Repair Kit..O-Rings, Pads, Stem, Handle, Pin & Spring..HILCO Transfer Valve Model F-20B-150P-001..",Hilliard Corporation,,,,,,,sales_item
1010-2ply,10x10 2-Ply Poly Panel,M.L. Filters,10x10,10.0,10.0,,,,air_filter
1010-3ply,10x10 3-Ply Poly Panel,M.L. Filters,10x10,10.0,10.0,,,,air_filter
1012-3ply,10x12 3-Ply Poly Panel,M.L. Filters,10x12,10.0,12.0,,,,air_filter
1020-2ply,10x20 2-Ply Poly Panel,M.L. Filters,10x20,10.0,20.0,,,,air_filter
1020-3ply,10x20 3-Ply Poly Panel,M.L. Filters,10x20,10.0,20.0,,,,air_filter
1025-3ply,10x25 3-Ply Poly Panel,M.L. Filters,10x25,10.0,25.0,,,,air_filter
1030-3ply,10x30 3-Ply Poly Panel,M.L. Filters,10x30,10.0,30.0,,,,air_filter
1040-2ply,10x40 2-Ply Poly Panel,M.L. Filters,10x40,10.0,40.0,,,,air_filter
1080-2ply,10x80 2-Ply Poly Panel,M.L. Filters,10x80,10.0,80.0,,,,air_filter
1142-2ply,11x42 MZP 2-Ply Poly Panel,M.L. Filters,11x42,11.0,42.0,,,,air_filter
12.24.2 Nova Pleat,12x24x2 NovaPleat No Wire,Commercial Filters Sales,12x24x2,12.0,24.0,2.0,,,air_filter
1212-2Ply,12x12 2-Ply Panel,M.L. Filters,12x12,12.0,12.0,,,,air_filter
1212-3Ply,12x12 3-Ply Panel,M.L. Filters,12x12,12.0,12.0,,,,air_filter
12120-2ply,12x120 2-Ply Poly Panel,M.L. Filters,12x120,12.0,120.0,,,,air_filter
12120-3ply,12x120 3-Ply Poly Panel,M.L. Filters,12x120,12.0,120.0,,,,air_filter
1212W-2Ply-P,"12""  x 12""   2 Ply Panel Filter",M.L. Filters,"12""  x 12""",12.0,12.0,,,,air_filter
12144-2PLY-6L,12x144 2 Ply Poly Panel,M.L. Filters,12x144,12.0,144.0,,,,air_filter
12144-3PLY-6L,12x144 3 Ply Poly Panel,M.L. Filters,12x144,12.0,144.0,,,,air_filter
1218-2ply,12x18 2-Ply Poly Panel,M.L. Filters,12x18,12.0,18.0,,,,air_filter
1218-3ply,12x18 3-Ply Poly Panel,M.L. Filters,12x18,12.0,18.0,,,,air_filter
1218-5050WW-P,12x18 2-Ply Panel,M.L. Filters,12x18,12.0,18.0,,,,air_filter
1220-2ply,12x20 2-Ply Poly Panel,M.L. Filters,12x20,12.0,20.0,,,,air_filter
1220-3ply,12x20 3-Ply Poly Panel,M.L. Filters,12x20,12.0,20.0,,,,air_filter
1224-2ply,12x24 2-Ply Poly Panel,M.L. Filters,12x24,12.0,24.0,,,,air_filter
1224-3ply,12x24 3-Ply Poly Panel,M.L. Filters,12x24,12.0,24.0,,,,air_filter
1224W-3PLY-P,12x24 3 Ply Poly Panel,M.L. Filters,12x24,12.0,24.0,,,,air_filter
1238-2ply,12x38 2-Ply Poly Panel,M.L. Filters,12x38,12.0,38.0,,,,air_filter
1243-2ply,12x43 2-Ply Poly Panel,M.L. Filters,12x43,12.0,43.0,,,,air_filter
1243-3ply,12x43 3-Ply Poly Panel,M.L. Filters,12x43,12.0,43.0,,,,air_filter
1248W-2PLY-P,12x48 2 Ply Poly Panel,M.L. Filters,12x48,12.0,48.0,,,,air_filter
1248W-3PLY-P,12x48 3 Ply Poly Panel,M.L. Filters,12x48,12.0,48.0,,,,air_filter
1272-2Ply,12x72 2-Ply Poly Panel,M.L. Filters,12x72,12.0,72.0,,,,air_filter
1272-3Ply,12x72 3-Ply Poly Panel Special,M.L. Filters,12x72,12.0,72.0,,,,air_filter
1296-2ply,12x96 2-Ply Poly Panel Special,M.L. Filters,12x96,12.0,96.0,,,,air_filter
1296-3Ply,12x96 3-Ply Poly Panel Special,M.L. Filters,12x96,12.0,96.0,,,,air_filter
1321-2ply,13x21 2-Ply Poly Panel,M.L. Filters,13x21,13.0,21.0,,,,air_filter
1321-3ply,13x21 3-Ply Poly Panel,M.L. Filters,13x21,13.0,21.0,,,,air_filter
1322-2ply,13x22 2-Ply Poly Panel,M.L. Filters,13x22,13.0,22.0,,,,air_filter
1322-3ply,13x22 3-Ply Poly Panel,M.L. Filters,13x22,13.0,22.0,,,,air_filter
1324-2ply,13x24-3/4 2-Ply Poly Panel,M.L. Filters,13x24-3/4,13.0,24.75,,,,air_filter
14.20.2 Nova Pleat,14x20x2 NovaPleat No Wire,Commercial Filters Sales,14x20x2,14.0,20.0,2.0,,,air_filter
14.25.1 Nova Pleat,14x25x1 NovaPleat No Wire,Commercial Filters Sales,14x25x1,14.0,25.0,1.0,,,air_filter
1414-2ply,14x14 2-Ply Poly Panel,M.L. Filters,14x14,14.0,14.0,,,,air_filter
1414-3ply,14x14 3-Ply Poly Panel,M.L. Filters,14x14,14.0,14.0,,,,air_filter
1419-2ply,14x19 2-Ply Poly Panel,M.L. Filters,14x19,14.0,19.0,,,,air_filter
1419-3ply,14x19 3-Ply Poly Panel,M.L. Filters,14x19,14.0,19.0,,,,air_filter
1420-2ply,14x20 2-Ply Poly Panel,M.L. Filters,14x20,14.0,20.0,,,,air_filter
1420-3ply,14x20 3-Ply Poly Panel,M.L. Filters,14x20,14.0,20.0,,,,air_filter
1420-5050WW-P,14x20 Poly Panel 2 Ply,M.L. Filters,14x20,14.0,20.0,,,,air_filter
1424-2ply,14x24 2-Ply Poly Panel,M.L. Filters,14x24,14.0,24.0,,,,air_filter
1424-3ply,14x24 3-Ply Poly Panel,M.L. Filters,14x24,14.0,24.0,,,,air_filter
1425-2ply,14x25 2-Ply Poly Panel,M.L. Filters,14x25,14.0,25.0,,,,air_filter
1425-3ply,14x25 3-Ply Poly Panel,M.L. Filters,14x25,14.0,25.0,,,,air_filter
1428-2ply,14x28 2-Ply Poly Panel,M.L. Filters,14x28,14.0,28.0,,,,air_filter
1428-3ply,14x28 3-Ply Poly Panel,M.L. Filters,14x28,14.0,28.0,,,,air_filter
1430-3Ply,14x30 3-Ply Poly Panel,M.L. Filters,14x30,14.0,30.0,,,,air_filter
1438-2ply,14x38 2-Ply Poly Panel,M.L. Filters,14x38,14.0,38.0,,,,air_filter
1438-3ply,14x38 3-Ply Poly Panel,M.L. Filters,14x38,14.0,38.0,,,,air_filter
1444-2ply,14x44 2-Ply Poly Panel,M.L. Filters,14x44,14.0,44.0,,,,air_filter
1444-3ply,14x44 3-Ply Poly Panel,M.L. Filters,14x44,14.0,44.0,,,,air_filter
1520-2ply,15x20 2-Ply Poly Panel,M.L. Filters,15x20,15.0,20.0,,,,air_filter
1520-3ply,15x20 3-Ply Poly Panel,M.L. Filters,15x20,15.0,20.0,,,,air_filter
1520-5050WW-P,15x20 2-Ply Panel,M.L. Filters,15x20,15.0,20.0,,,,air_filter
1525-3ply,15x25 3-Ply Poly Panel,M.L. Filters,15x25,15.0,25.0,,,,air_filter
1530-2Ply,15x30 2-Ply Poly Panel,M.L. Filters,15x30,15.0,30.0,,,,air_filter
1530-3Ply,15x30 3-Ply Poly Panel,M.L. Filters,15x30,15.0,30.0,,,,air_filter
1530-5050WW-P,15x30 2-Ply Panel,M.L. Filters,15x30,15.0,30.0,,,,air_filter
15305/8-2Ply,15x30 5/8 2-Ply Poly Panel,M.L. Filters,15x30 5/8,15.0,30.625,,,,air_filter
15305/8-3Ply,15x30 -5/8 3-Ply Poly Panel,M.L. Filters,15x30 ,15.0,30.0,,,,air_filter
1530W-2PLY P,"15""x30"" 2 PLY PANEL FILTER",M.L. Filters,"15""x30""",15.0,30.0,,,,air_filter
1531-3Ply,15x31 3-Ply Poly Panel,M.L. Filters,15x31,15.0,31.0,,,,air_filter
1534-2ply,15x34 2-Ply Poly Panel,M.L. Filters,15x34,15.0,34.0,,,,air_filter
16.20.1 Nova Pleat,16x20x1 NovaPleat No Wire,Commercial Filters Sales,16x20x1,16.0,20.0,1.0,,,air_filter
16.20.2 Nova Pleat,16x20x2 NovaPleat No Wire,Commercial Filters Sales,16x20x2,16.0,20.0,2.0,,,air_filter
16.25.1 Nova Pleat,16x25x1 NovaPleat No Wire,Commercial Filters Sales,16x25x1,16.0,25.0,1.0,,,air_filter
16.25.2 Nova Pleat,16x25x2 NovaPleat No Wire,Commercial Filters Sales,16x25x2,16.0,25.0,2.0,,,air_filter
16100-2Ply,16x100 2-Ply Poly Panel,M.L. Filters,16x100,16.0,100.0,,,,air_filter
16120-2ply,"16"" X 120"" 2 PLY LINK FILTER",M.L. Filters,"16"" X 120""",16.0,120.0,,,,air_filter
16120W - 3PLY - 5L,"16"" X 120"" 3 PLY LINK FILTER",M.L. Filters,"16"" X 120""",16.0,120.0,,,,air_filter
1616-2Ply,16x16 2-Ply Poly Panel,M.L. Filters,16x16,16.0,16.0,,,,air_filter
1616-3Ply,16x16 3-Ply Poly Panel,M.L. Filters,16x16,16.0,16.0,,,,air_filter
1618-3Ply,16x18 3-Ply Poly Panel,M.L. Filters,16x18,16.0,18.0,,,,air_filter
1618-5050WW-P,16x18 Poly Panels 2 ply,M.L. Filters,16x18,16.0,18.0,,,,air_filter
1620-2Ply,16x20 2-Ply Poly Panels,M.L. Filters,16x20,16.0,20.0,,,,air_filter
1620-2Ply FB Gold Panel,16x20 2-Ply Gold Panel,Fiber Bond Corporation,16x20,16.0,20.0,,,,air_filter
1620-3Ply,16x20 3-Ply Poly Panel,M.L. Filters,16x20,16.0,20.0,,,,air_filter
1620-5050WW-P,16x20 2-Ply Panel,M.L. Filters,16x20,16.0,20.0,,,,air_filter
1622-2Ply,16x22 2-Ply Poly Panel,M.L. Filters,16x22,16.0,22.0,,,,air_filter
1622-3Ply,16x22 3-Ply Poly Panel,M.L. Filters,16x22,16.0,22.0,,,,air_filter
1622-5050WW-P,16x22 2-Ply Panel,M.L. Filters,16x22,16.0,22.0,,,,air_filter
1624-2ply,16x24 2-Ply Poly Panel,M.L. Filters,16x24,16.0,24.0,,,,air_filter
1624-3Ply,16x24 3-Ply Poly Panel,M.L. Filters,16x24,16.0,24.0,,,,air_filter
1624-5050-G/W,16x24 Poly Panels 2 ply,M.L. Filters,16x24,16.0,24.0,,,,air_filter
1625-2Ply,16x25 2-Ply Poly Panel,M.L. Filters,16x25,16.0,25.0,,,,air_filter
1625-3Ply,16x25 3-Ply Poly Panel,M.L. Filters,16x25,16.0,25.0,,,,air_filter
1625-5050WW-P,16x25 2-Ply Panel,M.L. Filters,16x25,16.0,25.0,,,,air_filter
1628-2ply,16x28 2-Ply Poly Panel,M.L. Filters,16x28,16.0,28.0,,,,air_filter
1630-2Ply,16x30 2-Ply Poly Panel,M.L. Filters,16x30,16.0,30.0,,,,air_filter
1630-3Ply,16x30 3-Ply Poly Panel,M.L. Filters,16x30,16.0,30.0,,,,air_filter
1631-3Ply,16x31 3-Ply Poly Panel,M.L. Filters,16x31,16.0,31.0,,,,air_filter
1632-2ply,16x32 2-Ply Poly Panel,M.L. Filters,16x32,16.0,32.0,,,,air_filter
1632-2PLY-2L,16x32 2 Ply Poly Panel,M.L. Filters,16x32,16.0,32.0,,,,air_filter
1632-3ply,16x32 3 Ply Poly Panel,M.L. Filters,16x32,16.0,32.0,,,,air_filter
1636-2ply,16x36 2-Ply Poly Panel,M.L. Filters,16x36,16.0,36.0,,,,air_filter
1640-3ply,16x40 3-Ply Poly Panel,M.L. Filters,16x40,16.0,40.0,,,,air_filter
1648-2Ply,"16x48 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,16x48,16.0,48.0,,MERV 9,9.0,air_filter
1650-2ply,16x50 2-Ply Poly Panel,M.L. Filters,16x50,16.0,50.0,,,,air_filter
1650-3ply,16x50 3-Ply Poly Panel,M.L. Filters,16x50,16.0,50.0,,,,air_filter
1651-2Ply,16.5x51.5 2-Ply Poly Panels,M.L. Filters,16.5x51.5,16.5,51.5,,,,air_filter
1664-2PLY-3L,16x64 2-Ply Poly Link,M.L. Filters,16x64,16.0,64.0,,,,air_filter
1672-2ply,16x72 2-Ply Poly Panel,M.L. Filters,16x72,16.0,72.0,,,,air_filter
1672-3ply,16x72 3-Ply Poly Panel,M.L. Filters,16x72,16.0,72.0,,,,air_filter
1675-2PLY-3L,16x75 MZP 2-Ply Poly Panel,M.L. Filters,16x75,16.0,75.0,,,,air_filter
1680-2Ply,16x80 2-Ply Poly Panel,M.L. Filters,16x80,16.0,80.0,,,,air_filter
1680-3Ply,16x80 3-Ply Poly Panel,M.L. Filters,16x80,16.0,80.0,,,,air_filter
16x32 Poly Panel,16x32 Poly Panel,M.L. Filters,16x32,16.0,32.0,,,,air_filter
1718-5050WW-P,17x18 Poly Panels 2 Ply,M.L. Filters,17x18,17.0,18.0,,,,air_filter
18-6005-01,7.5 AMP Door Switch,"UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
18.24.2 Nova Pleat,18x24x2 NovaPleat No Wire,Commercial Filters Sales,18x24x2,18.0,24.0,2.0,,,air_filter
1818-3ply,18x18 3-Ply Poly Panel,M.L. Filters,18x18,18.0,18.0,,,,air_filter
1822-3Ply,18x22 3-Ply Poly Panel,M.L. Filters,18x22,18.0,22.0,,,,air_filter
1822-5050WW-P,18x22 Poly Panel 2 Ply,M.L. Filters,18x22,18.0,22.0,,,,air_filter
1824-3ply,18x24 3-Ply Poly Panel,M.L. Filters,18x24,18.0,24.0,,,,air_filter
1825-3ply,18x25 3-Ply Poly Panel,M.L. Filters,18x25,18.0,25.0,,,,air_filter
1828-5050-G/W,18x28 Poly Panels 2 Ply,M.L. Filters,18x28,18.0,28.0,,,,air_filter
1830-2Ply,18x30 2-Ply Panel,M.L. Filters,18x30,18.0,30.0,,,,air_filter
1830-5050WW-P,18x30 2-Ply Panel,M.L. Filters,18x30,18.0,30.0,,,,air_filter
1837-2ply,18x37 2-Ply Poly Panel,M.L. Filters,18x37,18.0,37.0,,,,air_filter
1921-5050WW-P,19x21 Poly Panels 2 ply,M.L. Filters,19x21,19.0,21.0,,,,air_filter
20.20.2 Nova Pleat,20x20x2 NovaPleat No Wire,Commercial Filters Sales,20x20x2,20.0,20.0,2.0,,,air_filter
20.24.2 Nova Pleat,20x24x2 NovaPleat No Wire,Commercial Filters Sales,20x24x2,20.0,24.0,2.0,,,air_filter
20.25.1 Nova Pleat,20x25x1 NovaPleat No Wire,Commercial Filters Sales,20x25x1,20.0,25.0,1.0,,,air_filter
20.25.2 Nova Pleat,20x25x2 NovaPleat No Wire,Commercial Filters Sales,20x25x2,20.0,25.0,2.0,,,air_filter
20112-2Ply,"20x112 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20x112,20.0,112.0,,MERV 9,9.0,air_filter
20117-2ply,"20x117 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20x117,20.0,117.0,,MERV 9,9.0,air_filter
20120-2Ply,20x120 2-Ply Poly Link,M.L. Filters,20x120,20.0,120.0,,,,air_filter
20120W - 3PLY - 5L,"20"" X 120"" 3 PLY LINK FILTER",M.L. Filters,"20"" X 120""",20.0,120.0,,,,air_filter
2020-2ply,20x20 2-Ply Poly Panel,M.L. Filters,20x20,20.0,20.0,,,,air_filter
2020-3ply,20x20 3-Ply Poly Panel,M.L. Filters,20x20,20.0,20.0,,,,air_filter
2020-5050WW-P,20x20 2-Ply Panel,M.L. Filters,20x20,20.0,20.0,,,,air_filter
2022-2ply,20x22 2-Ply Poly Panel,M.L. Filters,20x22,20.0,22.0,,,,air_filter
2022-3ply,2022-3ply Poly Panel,M.L. Filters,,,,,,,air_filter
2022-5050WW-P,20x22 2-Ply Panel,M.L. Filters,20x22,20.0,22.0,,,,air_filter
2024-2Ply,20x24 2-Ply Poly Panel,M.L. Filters,20x24,20.0,24.0,,,,air_filter
2024-3ply,20x24 3-Ply Poly Panel,M.L. Filters,20x24,20.0,24.0,,,,air_filter
2024-5050WW-P,20x24 Poly Panel 2 Ply,M.L. Filters,20x24,20.0,24.0,,,,air_filter
2025-2ply,20x25 2-Ply Poly Panel,M.L. Filters,20x25,20.0,25.0,,,,air_filter
2025-3ply,20x25 3-Ply Poly Panel,M.L. Filters,20x25,20.0,25.0,,,,air_filter
2025-5050WW-P,20x25 Poly Panels 2 Ply,M.L. Filters,20x25,20.0,25.0,,,,air_filter
2026-2ply,20x26 2-Ply Poly Panel,M.L. Filters,20x26,20.0,26.0,,,,air_filter
2029-3ply,20.5x29.25 3-Ply Poly Panel,M.L. Filters,20.5x29.25,20.5,29.25,,,,air_filter
2030-2Ply,20x30 2-Ply Poly Panel,M.L. Filters,20x30,20.0,30.0,,,,air_filter
2030-2Ply FB Gold Panel,20x30 2-Ply Gold Panel,Fiber Bond Corporation,20x30,20.0,30.0,,,,air_filter
2030-3Ply,20x30 - 3 Ply Poly Panel,M.L. Filters,20x30 ,20.0,30.0,,,,air_filter
2030-5050WW-P,20x30 2-Ply Panel,M.L. Filters,20x30,20.0,30.0,,,,air_filter
2032-2Ply,20x32 2Ply Poly Panel,M.L. Filters,20x32,20.0,32.0,,,,air_filter
2032-3Ply,2032 - 3 Ply Poly Panel,M.L. Filters,,,,,,,air_filter
2036-2ply,20x36 2-Ply Poly Panel,M.L. Filters,20x36,20.0,36.0,,,,air_filter
2036-3ply,20x36 3-Ply Poly Panel,M.L. Filters,20x36,20.0,36.0,,,,air_filter
2040-2Ply,20x40 2-Ply Poly Panel,M.L. Filters,20x40,20.0,40.0,,,,air_filter
2040-3Ply,20x40 3 Ply Poly Panel,M.L. Filters,20x40,20.0,40.0,,,,air_filter
2040W-2PLY-2L,20x40 2 Ply Poly Panel,M.L. Filters,20x40,20.0,40.0,,,,air_filter
2050-2Ply,20x50 2-Ply Poly Panel,M.L. Filters,20x50,20.0,50.0,,,,air_filter
2050-3Ply,20x50 3-Ply Poly Panel,M.L. Filters,20x50,20.0,50.0,,,,air_filter
2060-2Ply,20x60 2-Ply Poly Panel,M.L. Filters,20x60,20.0,60.0,,,,air_filter
2060-3Ply,20x60 3-Ply Poly Panel,M.L. Filters,20x60,20.0,60.0,,,,air_filter
2064-2PLY-3L,20x64 2-Ply Poly Link,M.L. Filters,20x64,20.0,64.0,,,,air_filter
2072-2ply,20x72 2-Ply Poly Panel,M.L. Filters,20x72,20.0,72.0,,,,air_filter
2072-3ply,20x72 3-Ply Poly Panel,M.L. Filters,20x72,20.0,72.0,,,,air_filter
2075-2Ply,20x75 2-Ply Poly Panel,M.L. Filters,20x75,20.0,75.0,,,,air_filter
2075W-2PLY-3L,20x75 2 Ply Poly Panel,M.L. Filters,20x75,20.0,75.0,,,,air_filter
2075W-3PLY-3L,20x75 3 Ply Poly Panel,M.L. Filters,20x75,20.0,75.0,,,,air_filter
2080-2ply,20x80 2-Ply Poly Panel,M.L. Filters,20x80,20.0,80.0,,,,air_filter
2084-2PLY-4L,20x84 2-Ply Poly Link,M.L. Filters,20x84,20.0,84.0,,,,air_filter
2094-2Ply,"20x94 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20x94,20.0,94.0,,MERV 9,9.0,air_filter
2098-2Ply,"20x98 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,20x98,20.0,98.0,,MERV 9,9.0,air_filter
2121-2ply,21x21 2-Ply Poly Panel,M.L. Filters,21x21,21.0,21.0,,,,air_filter
2121-3ply,21x21 3-Ply Poly Panel,M.L. Filters,21x21,21.0,21.0,,,,air_filter
2123-2ply,21x23 1/2 2-Ply Poly Panel,M.L. Filters,21x23 1/2,21.0,23.5,,,,air_filter
2123-3ply,21x23 1/2 3-Ply Poly Panel,M.L. Filters,21x23 1/2,21.0,23.5,,,,air_filter
2224-2PLY,22x24 2-Ply Panel,M.L. Filters,22x24,22.0,24.0,,,,air_filter
2226-2ply,22x26 2-Ply Poly Panel,M.L. Filters,22x26,22.0,26.0,,,,air_filter
2236-5050WW-P,22x36 2-Ply Panel,M.L. Filters,22x36,22.0,36.0,,,,air_filter
24.24.2 Nova Pleat,24x24x2 NovaPleat No Wire,Commercial Filters Sales,24x24x2,24.0,24.0,2.0,,,air_filter
24105-2Ply,24x105 2-Ply Poly Panel,M.L. Filters,24x105,24.0,105.0,,,,air_filter
24110-2ply,24x110 2Ply Poly Panel,M.L. Filters,24x110,24.0,110.0,,,,air_filter
24110-3ply,24x110 3-Ply Poly Panel,M.L. Filters,24x110,24.0,110.0,,,,air_filter
24114-2ply,24x114 2 Ply Poly Link,M.L. Filters,24x114,24.0,114.0,,,,air_filter
24120-2Ply,120x24 2-Ply Poly Link,M.L. Filters,120x24,120.0,24.0,,,,air_filter
24120-3ply,24x120 3-Ply Poly Panel,M.L. Filters,24x120,24.0,120.0,,,,air_filter
24120W-3PLY-5L,24x120 3 Ply Poly Panel,M.L. Filters,24x120,24.0,120.0,,,,air_filter
24140W-2PLY-7L,24x140 2 Ply Poly Panel,M.L. Filters,24x140,24.0,140.0,,,,air_filter
24140W-3PLY-7L,24x140 3 Ply Poly Panel,M.L. Filters,24x140,24.0,140.0,,,,air_filter
24144-2PLY-6L,24x144 2 Ply Poly Panel,M.L. Filters,24x144,24.0,144.0,,,,air_filter
24144-3PLY-6L,24x144 3 Ply Poly Panel,M.L. Filters,24x144,24.0,144.0,,,,air_filter
24192W-2PLY-6L,24x192 2 Ply Poly Panel,M.L. Filters,24x192,24.0,192.0,,,,air_filter
24192W-3PLY-6L,24x192 3 Ply Poly Panel,M.L. Filters,24x192,24.0,192.0,,,,air_filter
2424-2ply,24x24 2-Ply Poly Panel,M.L. Filters,24x24,24.0,24.0,,,,air_filter
2424-3ply,24x24 3-Ply Poly Panel,M.L. Filters,24x24,24.0,24.0,,,,air_filter
2424-5050WW-P,24x24 Poly Panels 2 Ply,M.L. Filters,24x24,24.0,24.0,,,,air_filter
2424W-3PLY-P,24x24-  3 Ply Poly Panels,M.L. Filters,24x24,24.0,24.0,,,,air_filter
2430-2ply,24x30 2-Ply Poly Panel,M.L. Filters,24x30,24.0,30.0,,,,air_filter
2435-2ply,24 1/2 x 35 1/2  2-Ply Poly Panel,M.L. Filters,24 1/2 x 35 1/2 ,24.5,35.5,,,,air_filter
2448-2ply,24x48 2 Ply Poly Panel,M.L. Filters,24x48,24.0,48.0,,,,air_filter
2448W - 3PLY - 2L,24x48 3 Ply Poly Panel,M.L. Filters,24x48,24.0,48.0,,,,air_filter
2460-2Ply,24x60 2-Ply Poly Panel,M.L. Filters,24x60,24.0,60.0,,,,air_filter
2460-3Ply,24x60 3-Ply Poly Panel Special,M.L. Filters,24x60,24.0,60.0,,,,air_filter
2472-3Ply,24x72 3-Ply Poly Panel Special,M.L. Filters,24x72,24.0,72.0,,,,air_filter
2480-3ply-4L,"24"" X 80"" 3 PLY LINK FILTER",M.L. Filters,"24"" X 80""",24.0,80.0,,,,air_filter
2484-3ply,24x84 3-Ply Poly Panel,M.L. Filters,24x84,24.0,84.0,,,,air_filter
2496-2ply,24x96 2Ply Poly Panel,M.L. Filters,24x96,24.0,96.0,,,,air_filter
2496-3Ply,24x96 3-Ply Poly Panel Special,M.L. Filters,24x96,24.0,96.0,,,,air_filter
2496W - 3PLY - 4L,"24"" X 96"" 3 PLY LINK FILTER",M.L. Filters,"24"" X 96""",24.0,96.0,,,,air_filter
251/2361/2-2ply,24 1/2 x 35 1/2  2-Ply Poly Panel,M.L. Filters,24 1/2 x 35 1/2 ,24.5,35.5,,,,air_filter
25100-2ply,25x100  2-Ply Poly Panel,M.L. Filters,25x100 ,25.0,100.0,,,,air_filter
25140-2PLY-7L,25x140 2-Ply Poly Link-7L,M.L. Filters,25x140,25.0,140.0,,,,air_filter
2525-2Ply,25x25 2-Ply Panel,M.L. Filters,25x25,25.0,25.0,,,,air_filter
2525-3ply,25x25 3-Ply Poly Panel,M.L. Filters,25x25,25.0,25.0,,,,air_filter
2527-2Ply,25x27 2-Ply Panel,M.L. Filters,25x27,25.0,27.0,,,,air_filter
2527-5050WW-P,25x27 2-Ply Panel,M.L. Filters,25x27,25.0,27.0,,,,air_filter
2530-2ply,25x30 MZP 2-Ply Poly Panel,M.L. Filters,25x30,25.0,30.0,,,,air_filter
2532-2ply,25x32 2ply Poly Panel,M.L. Filters,25x32,25.0,32.0,,,,air_filter
2532-3ply,25x32-3ply Poly Panel,M.L. Filters,25x32,25.0,32.0,,,,air_filter
2548-2ply,25x48 2 Ply Poly Panel,M.L. Filters,25x48,25.0,48.0,,,,air_filter
2548-3ply,25x48 3-Ply Poly Panel,M.L. Filters,25x48,25.0,48.0,,,,air_filter
2552-2ply,25x52 2ply Poly Panel,M.L. Filters,25x52,25.0,52.0,,,,air_filter
2552-3Ply,25x52 3-Ply Poly Panel Special,M.L. Filters,25x52,25.0,52.0,,,,air_filter
2560-2ply,25x60 2-Ply Poly Panel,M.L. Filters,25x60,25.0,60.0,,,,air_filter
2560-3ply,25x60 3-Ply Poly Panel,M.L. Filters,25x60,25.0,60.0,,,,air_filter
2563-2Ply,"25x63 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,25x63,25.0,63.0,,MERV 9,9.0,air_filter
2575-2ply,25x75 2-Ply Poly Panel,M.L. Filters,25x75,25.0,75.0,,,,air_filter
2578-2Ply,"25x78 MERV 9, 2-Ply Poly Link w/Antimicrobial",M.L. Filters,25x78,25.0,78.0,,MERV 9,9.0,air_filter
2590-2PLY-5L,25x90 2-Ply Poly Panel,M.L. Filters,25x90,25.0,90.0,,,,air_filter
